INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=80, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, subdirectory='v2', wandb_on=True, x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1962.56203212, 3949.22086383, 27.26652376, -750.52921375, 1139.11819303, 0.007
INFO:root:385.35299691, 1069.55687318, 46.19139247, -18.29452639, 329.77502731, 0.007
INFO:root:277.63375673, 734.56141991, 44.22771268, -13.03761071, 198.51051060, 0.007
INFO:root:199.99863964, 460.37545467, 48.34157207, -13.54442509, 131.04098598, 0.007
INFO:root:237.45120416, 585.19704428, 45.72825642, -16.16382901, 144.53533675, 0.007
INFO:root:210.29311698, 490.20705481, 45.83032193, -17.40067164, 127.22746963, 0.007
INFO:root:228.51979007, 545.47581810, 46.34977041, -18.52726881, 132.51338176, 0.007
INFO:root:238.09688521, 578.61086090, 47.54119598, -16.97242410, 132.49783118, 0.007
INFO:root:198.30184242, 446.05369510, 46.83872802, -17.64699961, 108.66797899, 0.007
INFO:root:214.69215786, 503.80435181, 44.44146588, -19.10937942, 124.51442825, 0.007
INFO:root:197.38726834, 442.51644859, 44.65524683, -19.97708176, 113.33322288, 0.007
INFO:root:183.53160363, 385.29836824, 43.60764250, -24.33444462, 99.23141692, 0.007
INFO:root:207.41673422, 447.58720166, 43.69207537, -29.44849336, 108.89899261, 0.007
INFO:root:209.59283915, 429.57359121, 43.90619109, -36.81456442, 108.28759766, 0.007
INFO:root:199.57476807, 387.59077975, 46.13283548, -37.16469574, 100.19748717, 0.007
INFO:root:200.87415292, 398.18238985, 45.75176480, -35.66766664, 99.71389452, 0.007
INFO:root:200.32631599, 392.80120174, 45.14233080, -37.34361897, 98.70762383, 0.007
INFO:root:189.25262859, 374.18058835, 43.72232379, -33.27612442, 95.81079710, 0.007
INFO:root:188.78336945, 371.41030227, 43.01440780, -34.34586626, 96.82285488, 0.007
INFO:root:169.88329828, 314.37375264, 44.30060553, -31.27056296, 85.02452141, 0.007
INFO:root:174.34861317, 337.81189428, 43.76176921, -29.24327141, 85.81585442, 0.007
INFO:root:162.02360583, 305.55058540, 42.27873389, -28.07969241, 82.80919135, 0.007
INFO:root:169.81030618, 334.27046918, 42.09432964, -27.43483065, 85.01060104, 0.007
INFO:root:177.92843843, 357.84203174, 41.51182889, -29.06399491, 92.57328323, 0.007
INFO:root:158.95013833, 296.17566304, 42.64906799, -27.44836793, 81.61361221, 0.007
INFO:root:165.20836245, 325.59623641, 42.22201152, -25.30747611, 84.39192364, 0.007
INFO:root:168.57959694, 327.61992307, 42.03504944, -28.25856622, 86.24293740, 0.007
INFO:root:166.78827815, 331.22637939, 41.00720374, -26.41315695, 87.29578965, 0.007
INFO:root:173.43651694, 351.77798230, 40.99104604, -26.91207188, 92.40619070, 0.007
INFO:root:172.05871824, 321.41755387, 42.77021150, -32.86323721, 84.44789983, 0.007
INFO:root:182.77663556, 345.64914578, 42.21373399, -36.86815334, 91.93311310, 0.007
INFO:root:183.53641825, 356.13683908, 41.36425726, -35.33110516, 93.91618289, 0.007
INFO:root:190.19791880, 361.49596743, 42.35054823, -39.39857574, 93.95587057, 0.007
INFO:root:187.26587681, 312.62591147, 46.76359529, -46.71450472, 84.28926449, 0.007
INFO:root:191.02661920, 333.71714377, 44.36019545, -46.55127711, 88.85115988, 0.007
INFO:root:188.59472420, 331.94796019, 45.37945296, -43.63087990, 87.35507275, 0.007
INFO:root:175.09091124, 316.92860026, 45.06672152, -34.94560652, 84.32790244, 0.007
INFO:root:161.26993393, 271.43821562, 44.71784669, -35.12062002, 75.55020098, 0.007
INFO:root:183.06794427, 301.52348463, 44.29797943, -48.31291601, 79.38564508, 0.007
INFO:root:178.99998221, 298.38850538, 43.45828150, -46.02514454, 81.73862124, 0.007
INFO:root:186.41585755, 291.83935933, 43.34593379, -55.51811297, 78.29028050, 0.007
INFO:root:164.76496434, 283.07429350, 44.09002647, -35.75264634, 76.55216763, 0.007
INFO:root:161.45443167, 299.05145090, 43.30406768, -28.43492514, 81.22728652, 0.007
INFO:root:157.51780911, 280.19164942, 42.29344424, -31.16686643, 77.82275188, 0.007
INFO:root:161.06057691, 287.44415341, 41.69365393, -33.13367356, 76.93620334, 0.007
INFO:root:160.09571333, 276.76345767, 40.93751989, -36.12915220, 73.61425100, 0.007
INFO:root:157.11870377, 273.32845046, 38.95163529, -36.16852932, 74.89503252, 0.007
INFO:root:162.99611547, 290.74858383, 38.26867229, -37.50286469, 77.48311992, 0.007
INFO:root:160.69542209, 280.72111917, 38.00448130, -38.47460259, 75.89766292, 0.007
INFO:root:151.39360957, 244.00671676, 37.76391133, -40.42768071, 69.36766511, 0.007
INFO:root:165.15285687, 271.86118249, 37.14942985, -46.44506847, 73.46784910, 0.007
INFO:root:166.46861419, 274.87718954, 36.30136376, -47.70409082, 73.65160795, 0.007
INFO:root:167.58004176, 279.03139351, 37.36466263, -46.50595793, 76.10455950, 0.007
INFO:root:156.68402719, 266.89238189, 38.28472422, -38.33158557, 73.49872082, 0.007
INFO:root:161.56721248, 275.39730758, 38.88957345, -40.05844351, 73.93625375, 0.007
INFO:root:161.11853198, 274.99420147, 38.52359562, -40.09667338, 75.03459163, 0.007
INFO:root:157.90601461, 262.64765003, 37.51111332, -41.60060328, 73.49697045, 0.007
INFO:root:162.56971921, 269.86455043, 37.05787963, -44.55247050, 74.58897902, 0.007
INFO:root:160.71843519, 255.69115265, 39.09133957, -44.91974623, 71.33442973, 0.007
INFO:root:158.58400289, 271.80642430, 38.69506131, -38.34701072, 74.77810046, 0.007
INFO:root:163.10929533, 279.90926487, 38.35043108, -40.78608086, 74.99586733, 0.007
INFO:root:162.20745541, 266.10709004, 38.09805723, -44.27726823, 72.61344837, 0.007
INFO:root:155.15241613, 257.21714396, 37.23692184, -40.75034849, 70.04711238, 0.007
INFO:root:142.02977470, 222.33727911, 37.09951229, -38.22907680, 64.59022039, 0.007
