INFO:root:Namespace(K=3, a_dim=2, alpha='mlp', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=0.3, scheduler_step=10, subdirectory='mlp', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2081.43936573, 4524.38920960, 21.77840455, -702.34414625, 1260.90710295, 0.007
INFO:root:639.89067344, 1842.66023505, 49.26892037, -37.82366225, 584.91473736, 0.007
INFO:root:377.02278843, 1003.05862311, 61.06823011, -15.03696056, 312.40228271, 0.007
INFO:root:310.11564656, 784.59143298, 60.33620173, -14.40200382, 242.75752818, 0.007
INFO:root:250.82928297, 577.24677866, 61.52564476, -16.12959757, 176.48242381, 0.007
INFO:root:226.85104943, 492.65412150, 61.54439240, -17.51041415, 148.10533017, 0.007
INFO:root:196.94358032, 389.91464736, 61.02894254, -18.94023826, 116.59921187, 0.007
INFO:root:179.91742578, 331.01009977, 60.96332381, -19.65106855, 99.02163938, 0.007
INFO:root:195.79890045, 388.39917031, 59.34829630, -19.93084803, 114.79285943, 0.007
INFO:root:173.69869925, 317.74805962, 58.41737057, -19.95690674, 95.33933818, 0.007
INFO:root:221.16707511, 487.37042719, 55.16822936, -19.78770975, 126.03426052, 0.007
INFO:root:149.97109582, 240.85905379, 56.92187032, -20.79150595, 71.75095281, 0.0059499999999999996
INFO:root:148.13041997, 235.90829622, 55.12737173, -22.23055616, 70.36999449, 0.0059499999999999996
INFO:root:151.70879443, 249.86264869, 53.56018008, -23.18981714, 74.67566415, 0.0059499999999999996
INFO:root:148.65707225, 237.63760318, 52.34014067, -25.02564791, 70.94399459, 0.0059499999999999996
INFO:root:150.23670984, 239.76603525, 51.33725932, -26.96963680, 71.45579529, 0.0059499999999999996
INFO:root:146.11836861, 226.46607353, 49.79450168, -28.38404257, 67.50251500, 0.0059499999999999996
INFO:root:148.37839980, 224.37777517, 49.32744198, -31.73762260, 66.73135994, 0.0059499999999999996
INFO:root:154.90525259, 215.85249213, 48.01377405, -42.13572800, 64.47458856, 0.0059499999999999996
INFO:root:164.01048521, 226.82235486, 47.41537659, -48.54839963, 67.42831117, 0.0059499999999999996
INFO:root:155.82201836, 209.61838889, 46.70237408, -46.23412551, 62.49557408, 0.0059499999999999996
INFO:root:154.81025630, 203.33248071, 46.58373951, -47.22676987, 60.66013331, 0.0050574999999999995
INFO:root:154.07442779, 196.67051272, 45.74268047, -49.33059195, 58.61758283, 0.0050574999999999995
INFO:root:161.36500187, 210.07733251, 44.68860380, -53.65319646, 62.51800441, 0.0050574999999999995
INFO:root:155.59698065, 201.44503610, 44.45658532, -50.70688218, 60.04761288, 0.0050574999999999995
INFO:root:156.12117257, 197.45399359, 43.77954391, -53.10542878, 58.88737473, 0.0050574999999999995
INFO:root:153.97543436, 196.95662255, 43.53780814, -51.35063707, 58.68230641, 0.0050574999999999995
INFO:root:154.54260082, 192.71103253, 42.84250042, -53.88678918, 57.44206214, 0.0050574999999999995
INFO:root:151.94607629, 185.31301513, 42.10917490, -54.24299456, 55.22897286, 0.0050574999999999995
INFO:root:156.65961218, 199.21536660, 42.38852957, -54.50646995, 59.33408196, 0.0050574999999999995
INFO:root:159.54425756, 199.80491348, 42.11028758, -57.49249289, 59.57422802, 0.0050574999999999995
INFO:root:155.43576991, 188.38914915, 43.04839958, -55.87062308, 56.18709820, 0.004298875
INFO:root:149.26717631, 186.47246136, 43.35679902, -49.96863704, 55.57599746, 0.004298875
INFO:root:145.79047879, 186.01980243, 43.71420389, -46.27033178, 55.49213501, 0.004298875
