INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=80, initial_epochs=1, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v1', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2098.04621631, 4431.60968249, 21.41912326, -747.14414837, 1241.86947516, 0.007
INFO:root:395.68507673, 1123.83721228, 48.53586552, -9.99803276, 339.11730745, 0.007
INFO:root:195.32443367, 429.30609710, 56.36055466, -10.17204434, 129.49719480, 0.007
INFO:root:159.57547759, 309.32475261, 55.80076841, -10.97727897, 93.25754962, 0.007
INFO:root:148.79526293, 273.17864353, 54.06602270, -12.77564331, 82.22847168, 0.007
INFO:root:143.41323480, 258.16539793, 51.49786198, -14.46575101, 77.73567634, 0.007
INFO:root:159.34937289, 319.95712570, 49.13804733, -14.22418419, 96.20520551, 0.007
INFO:root:134.93654320, 240.87166644, 47.82380802, -14.85123227, 72.33231904, 0.007
INFO:root:147.33931780, 262.31840940, 46.40968767, -22.23410372, 78.41347822, 0.007
INFO:root:158.86672570, 271.29918449, 44.91077529, -32.56619149, 81.58609839, 0.007
INFO:root:150.96541484, 250.65831148, 44.87045047, -30.89746736, 75.52346922, 0.007
INFO:root:144.56284214, 231.32879774, 44.63546396, -30.52873489, 69.58781085, 0.007
INFO:root:142.88973433, 235.72505555, 43.94991660, -28.22229761, 70.97648452, 0.007
INFO:root:141.90553581, 221.62122239, 42.92640145, -32.49276510, 66.63099482, 0.007
INFO:root:153.32346956, 256.86637666, 42.56263342, -33.70091966, 77.14509621, 0.007
INFO:root:151.18984281, 232.83845539, 45.07537330, -36.26293019, 70.00832961, 0.007
INFO:root:142.53291264, 221.99309067, 44.87884304, -31.05613922, 66.88790734, 0.007
INFO:root:153.53761081, 245.86793383, 43.32804141, -36.44918690, 74.09120183, 0.007
INFO:root:144.36081361, 215.04585054, 43.76165066, -36.08540550, 64.53568751, 0.007
INFO:root:143.60090636, 220.21417468, 42.07647908, -35.46017223, 66.35047729, 0.007
INFO:root:151.03185091, 223.77190660, 40.50506891, -43.39520729, 67.46703208, 0.007
INFO:root:140.15469447, 220.99279341, 39.46416464, -34.39268918, 66.43171286, 0.007
INFO:root:140.37881290, 226.65100291, 38.79379379, -33.58971515, 68.24935517, 0.007
INFO:root:137.54405934, 215.06650437, 38.44830636, -34.57579898, 64.77566103, 0.007
INFO:root:142.71554384, 218.08344858, 37.54352700, -39.74697917, 65.65520511, 0.007
INFO:root:140.94796823, 221.11403530, 37.62954538, -36.98420931, 66.57764937, 0.007
INFO:root:138.28554363, 217.51212572, 36.83645128, -36.19545236, 65.44472750, 0.007
INFO:root:136.07433414, 210.86448998, 36.61356846, -36.20141619, 63.47624139, 0.007
INFO:root:143.99074932, 212.63740404, 36.06418798, -44.13533726, 63.94767109, 0.007
INFO:root:154.54479402, 207.13060249, 35.26691495, -57.13869593, 62.40160230, 0.007
INFO:root:140.54433192, 213.25709534, 35.17004325, -41.39715704, 64.04665708, 0.007
INFO:root:139.84913512, 206.66009792, 35.55300082, -42.29810259, 62.22296254, 0.007
INFO:root:136.31790620, 198.02729624, 35.22933767, -41.68037719, 59.37770612, 0.007
INFO:root:137.74487672, 207.47205208, 34.57865085, -40.92460778, 62.30621125, 0.007
INFO:root:137.31499145, 206.95168372, 34.68004072, -40.54944380, 62.17308778, 0.007
INFO:root:135.24517298, 195.34893258, 35.14172474, -41.49876643, 58.69916419, 0.007
INFO:root:140.60364839, 192.39207130, 35.48449915, -47.40152670, 57.79056477, 0.007
INFO:root:141.41597400, 195.40477299, 35.71101053, -47.08352883, 58.68665207, 0.007
INFO:root:139.42289146, 198.83851392, 35.26684034, -44.50449566, 59.78982505, 0.007
INFO:root:129.44952039, 195.35339240, 34.45390368, -36.38959672, 58.74496586, 0.007
INFO:root:130.57922081, 201.74605589, 33.69918565, -36.35621563, 60.52925158, 0.007
INFO:root:130.73873817, 202.39264650, 33.60667678, -36.41426552, 60.75576014, 0.007
INFO:root:127.62605037, 194.24608371, 33.42489450, -35.92732821, 58.35652798, 0.007
INFO:root:126.82720189, 191.91065148, 32.97771159, -36.27629277, 57.63914610, 0.007
INFO:root:128.49927891, 193.47982672, 32.99175769, -37.46357093, 58.04738704, 0.007
INFO:root:140.27019307, 200.35795246, 34.02860096, -46.13420385, 59.95601707, 0.007
INFO:root:132.61067570, 203.44766911, 35.56101521, -36.01535761, 61.01221065, 0.007
INFO:root:134.01439761, 194.98917959, 35.19382250, -40.32381823, 58.53051893, 0.007
INFO:root:129.78842529, 186.52800857, 34.54321115, -39.28680901, 55.96855434, 0.007
INFO:root:128.56368386, 185.65148501, 33.90778761, -38.96044830, 55.75651864, 0.007
INFO:root:130.26874716, 185.39677062, 33.44310997, -41.20660390, 55.59800933, 0.007
INFO:root:132.77486189, 183.24721865, 33.23221979, -44.56847383, 54.95468951, 0.007
INFO:root:143.80874461, 192.09342377, 33.68562471, -52.49509016, 57.53246022, 0.007
INFO:root:131.17246533, 195.25187335, 34.20265867, -38.39424217, 58.68287668, 0.007
INFO:root:125.41251522, 189.22615592, 33.46096681, -35.18369925, 56.78068905, 0.007
INFO:root:123.66136303, 190.01559004, 32.60536363, -34.05132002, 57.00373782, 0.007
INFO:root:128.28655588, 185.67796519, 32.38253644, -40.20062687, 55.67920979, 0.007
INFO:root:128.66439655, 192.19920059, 32.32703047, -38.67760323, 57.56084109, 0.007
INFO:root:125.57984337, 187.71473597, 32.63640850, -36.62901231, 56.17583243, 0.007
INFO:root:125.18830073, 187.46453297, 32.61943559, -36.32950315, 56.12080267, 0.007
INFO:root:122.89822777, 182.57463904, 32.18195056, -35.94388255, 54.73786376, 0.007
INFO:root:121.26581410, 177.85842219, 31.79817291, -36.11011216, 53.29594759, 0.007
INFO:root:120.77969625, 176.84561911, 31.35094372, -36.37506407, 52.96940574, 0.007
INFO:root:122.43464324, 178.06774941, 30.92397357, -38.09034306, 53.36039294, 0.007
INFO:root:126.01133814, 185.26939547, 30.66237870, -39.76813882, 55.39086238, 0.007
INFO:root:121.42053086, 177.11729914, 30.60407245, -37.68126648, 53.02853423, 0.007
INFO:root:124.07359467, 172.39178525, 30.81246545, -41.54359174, 51.44404790, 0.007
INFO:root:125.68952736, 180.97065484, 30.56559609, -40.83273273, 54.21981681, 0.007
INFO:root:136.00000764, 184.45689933, 31.24095487, -49.42198028, 55.19245959, 0.007
INFO:root:131.40193777, 185.62738346, 30.84765287, -44.86606764, 55.65550739, 0.007
