INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1/attempt2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2097.97285884, 4431.14586321, 21.44170902, -747.18734565, 1241.74373424, 0.007
INFO:root:370.04014271, 999.46311622, 54.28353780, -15.91765674, 310.61721087, 0.007
INFO:root:223.70365281, 499.41839600, 60.63512483, -13.24300291, 150.08741500, 0.007
INFO:root:190.67890954, 386.52767983, 61.87390190, -12.84669885, 116.41962626, 0.007
INFO:root:177.95890906, 345.83193545, 61.55045068, -12.65887414, 103.73480089, 0.007
INFO:root:169.14728897, 316.57939669, 60.61813958, -13.55532638, 95.59333106, 0.007
INFO:root:170.12582128, 320.63580728, 59.30336945, -14.63170576, 95.30855396, 0.007
INFO:root:175.72610832, 346.82649984, 56.51535145, -15.16280115, 104.76114587, 0.007
INFO:root:154.56082582, 269.16348035, 57.33428501, -16.47749497, 81.13857482, 0.007
INFO:root:159.80633071, 289.77160220, 55.90903888, -16.96580842, 86.74897901, 0.007
INFO:root:204.85611893, 465.24991733, 52.47830985, -12.80282867, 118.17382716, 0.007
INFO:root:139.28203347, 240.79027490, 52.28298868, -14.76195937, 72.48910252, 0.007
INFO:root:133.86020719, 223.19722661, 50.15016112, -16.75087527, 67.04564942, 0.007
INFO:root:137.29977001, 238.84895441, 47.61536190, -18.02971889, 71.68625539, 0.007
INFO:root:131.68444942, 219.36796802, 45.98468945, -19.88936674, 65.85203890, 0.007
INFO:root:133.35493717, 224.46178233, 44.20769134, -21.80870845, 67.33132891, 0.007
INFO:root:130.41132911, 214.82619756, 43.13678751, -22.82667943, 64.47048351, 0.007
INFO:root:130.41542713, 214.56965212, 41.88363232, -24.16089643, 64.32328405, 0.007
INFO:root:137.32082457, 240.80189958, 40.05785042, -25.02240119, 72.46954355, 0.007
INFO:root:131.42743176, 212.53429017, 39.95534105, -27.71180063, 63.94470674, 0.007
INFO:root:129.58167160, 207.03455498, 39.19775704, -28.27354527, 62.21312463, 0.007
INFO:root:127.92384801, 204.85670568, 38.50975196, -27.95708166, 61.48905076, 0.0059499999999999996
INFO:root:129.25224037, 206.71658093, 38.31499665, -28.92226722, 62.09725580, 0.0059499999999999996
INFO:root:127.19970600, 194.90854230, 38.21502816, -30.51211299, 58.50389244, 0.0059499999999999996
INFO:root:132.57593584, 209.29147976, 37.56636757, -32.22212180, 62.88096078, 0.0059499999999999996
INFO:root:130.82818194, 200.85338197, 37.39872061, -33.17344459, 60.37304731, 0.0059499999999999996
INFO:root:129.02235161, 199.59487896, 36.85836753, -32.28551734, 60.00932645, 0.0059499999999999996
INFO:root:125.72678716, 197.68835353, 36.79205482, -29.62822388, 59.27396856, 0.0059499999999999996
INFO:root:125.55770055, 198.45396192, 37.20988493, -28.81162447, 59.63888666, 0.0059499999999999996
INFO:root:123.98196494, 195.74402338, 36.80553224, -28.45322308, 58.80765567, 0.0059499999999999996
INFO:root:124.63902221, 197.25438005, 36.78549310, -28.67721274, 59.19241850, 0.0059499999999999996
INFO:root:121.57590395, 190.88666254, 36.45946599, -27.85043719, 57.29857771, 0.0059499999999999996
INFO:root:120.82547781, 192.34483917, 35.77903661, -27.34298698, 57.70178150, 0.0059499999999999996
INFO:root:118.08287286, 186.70992289, 35.56123057, -26.50866338, 55.96855337, 0.0059499999999999996
