INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, scheduler_step=10, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2097.85972249, 4430.96330319, 21.40429307, -747.16639865, 1241.71182908, 0.007
INFO:root:361.30707400, 967.93246267, 55.12936073, -15.79796296, 300.75322308, 0.007
INFO:root:215.73150140, 470.08173573, 60.62754170, -14.07943289, 141.72857376, 0.007
INFO:root:194.11202677, 398.26425905, 61.33853965, -13.29420416, 119.87734522, 0.007
INFO:root:175.47434875, 338.24091117, 61.14284148, -12.85923123, 102.02955579, 0.007
INFO:root:172.19949373, 328.99740253, 60.10512161, -13.39514792, 99.33413706, 0.007
INFO:root:172.44408912, 332.34237671, 59.11587003, -13.62550241, 100.17065314, 0.007
INFO:root:156.87936144, 277.37240176, 58.37359498, -15.29404279, 83.66106405, 0.007
INFO:root:154.38623255, 268.84237169, 57.07444382, -16.65907418, 81.05657901, 0.007
INFO:root:153.20053669, 266.61375060, 55.94228880, -17.27411921, 80.47312589, 0.007
INFO:root:225.94158144, 540.88815675, 49.59674797, -14.07837871, 134.10884587, 0.007
INFO:root:136.93553267, 234.80716290, 50.73309307, -15.76028789, 70.45857886, 0.0059499999999999996
INFO:root:135.26611332, 229.53053264, 48.86641659, -17.54053414, 68.83174486, 0.0059499999999999996
INFO:root:131.69716185, 213.82631442, 46.95568012, -20.59358490, 64.13744267, 0.0059499999999999996
INFO:root:137.91671122, 233.00554087, 45.25680957, -22.75823653, 69.56636395, 0.0059499999999999996
INFO:root:128.85287001, 204.86113150, 44.11869010, -23.27583794, 61.35971996, 0.0059499999999999996
INFO:root:128.67540580, 211.01785684, 42.70003722, -22.67000901, 63.20309390, 0.0059499999999999996
INFO:root:124.80042090, 200.63814265, 41.57330148, -23.03567483, 60.11462523, 0.0059499999999999996
INFO:root:126.51903317, 207.57538305, 40.30790841, -23.93850722, 62.19014745, 0.0059499999999999996
INFO:root:124.37499936, 202.01309417, 39.25215661, -24.51891224, 60.54054704, 0.0059499999999999996
INFO:root:127.58709042, 210.44310519, 38.75359591, -25.70056057, 62.67813019, 0.0059499999999999996
INFO:root:131.06809747, 211.23408779, 38.36077161, -29.33709689, 63.06052490, 0.0050574999999999995
INFO:root:133.74174650, 197.27922444, 38.49051343, -36.06746303, 59.16680971, 0.0050574999999999995
INFO:root:137.52862130, 197.47253302, 38.49514510, -39.79171392, 59.24411696, 0.0050574999999999995
INFO:root:136.36091744, 196.54583740, 38.15504769, -39.24211598, 59.04976543, 0.0050574999999999995
INFO:root:135.49040657, 201.70413845, 37.64405765, -37.33510503, 60.58962689, 0.0050574999999999995
INFO:root:135.07833352, 203.17218481, 37.30186926, -36.82480671, 61.00190716, 0.0050574999999999995
INFO:root:136.27142219, 201.01161831, 37.08627257, -38.88166144, 60.41851604, 0.0050574999999999995
INFO:root:131.73451539, 196.13380432, 37.06397561, -35.83039573, 58.84216729, 0.0050574999999999995
INFO:root:134.13575230, 195.76749333, 37.02048352, -38.38501853, 58.79117077, 0.0050574999999999995
INFO:root:131.04914311, 201.19560840, 36.61213679, -34.07832158, 60.40269378, 0.0050574999999999995
INFO:root:128.14718883, 187.45163756, 36.38299367, -35.52870173, 56.14923709, 0.004298875
INFO:root:154.25044343, 192.59044580, 37.19213655, -59.28117105, 57.76993068, 0.004298875
INFO:root:139.75077757, 187.26513904, 37.34167944, -46.22955395, 56.09426020, 0.004298875
INFO:root:128.26317163, 186.20468487, 36.83050639, -35.57125721, 55.82834915, 0.004298875
INFO:root:130.25681191, 184.95051130, 36.66176050, -38.10989565, 55.44703713, 0.004298875
INFO:root:135.42710193, 184.35713447, 36.42038239, -43.69957677, 55.25916112, 0.004298875
INFO:root:138.46904369, 187.46619522, 36.04061955, -46.18856301, 56.22535566, 0.004298875
INFO:root:133.20103021, 187.43180924, 35.72423438, -41.24725130, 56.22065783, 0.004298875
INFO:root:126.92956924, 184.18056362, 35.52757756, -36.14782024, 55.22361398, 0.004298875
INFO:root:129.90518650, 185.48367290, 35.12407201, -39.13601074, 55.65221492, 0.004298875
INFO:root:134.79391532, 180.65019806, 35.24609399, -45.35275977, 54.11594410, 0.0036540437499999997
INFO:root:131.96438392, 179.80499016, 35.40224573, -42.62063865, 53.82418200, 0.0036540437499999997
INFO:root:139.81080138, 176.38320401, 35.70134904, -51.19448875, 52.80167249, 0.0036540437499999997
INFO:root:130.84667494, 179.09787605, 35.81490336, -41.30240649, 53.65304676, 0.0036540437499999997
INFO:root:124.01086164, 175.59129024, 35.15872081, -36.17475108, 52.55637577, 0.0036540437499999997
INFO:root:125.89471731, 171.89368699, 34.24327049, -40.08333873, 51.40346015, 0.0036540437499999997
INFO:root:125.96118427, 175.62590123, 33.33005393, -39.94335756, 52.60027931, 0.0036540437499999997
INFO:root:126.82353910, 175.55107928, 33.30530152, -40.85291179, 52.54662985, 0.0036540437499999997
INFO:root:124.23509144, 170.07331848, 33.59618057, -39.61691289, 50.85210337, 0.0036540437499999997
INFO:root:124.96120147, 168.04758695, 33.49527480, -41.05164862, 50.24768438, 0.0036540437499999997
INFO:root:121.17739683, 164.11341472, 33.44082429, -38.50254540, 48.97260714, 0.0031059371874999995
INFO:root:121.30537178, 162.78022805, 33.38298720, -39.08831434, 48.61304421, 0.0031059371874999995
INFO:root:120.17537045, 163.89805255, 33.41393451, -37.59201845, 48.98260739, 0.0031059371874999995
INFO:root:121.76246614, 161.20193984, 33.30834990, -40.09353281, 48.12092697, 0.0031059371874999995
INFO:root:124.60372478, 160.20259403, 33.42673690, -43.11620763, 47.84213088, 0.0031059371874999995
INFO:root:129.71843931, 161.49375858, 33.78642988, -47.48387937, 48.23762657, 0.0031059371874999995
INFO:root:140.03826087, 165.23761237, 35.51303130, -54.95394360, 49.37653109, 0.0031059371874999995
INFO:root:123.27482650, 165.97413133, 35.66161308, -37.82097207, 49.61701840, 0.0031059371874999995
INFO:root:122.47681631, 164.62069316, 35.18236986, -37.90823645, 49.21223638, 0.0031059371874999995
INFO:root:118.99834424, 163.60926761, 34.67199340, -35.24356882, 48.92543904, 0.0031059371874999995
INFO:root:117.68773769, 161.24046326, 34.35187511, -34.96372118, 48.16994085, 0.0026400466093749993
INFO:root:117.09890471, 159.51018186, 33.91806846, -35.32778037, 47.61204954, 0.0026400466093749993
INFO:root:116.56807787, 159.23942469, 33.49527306, -35.30097528, 47.54053845, 0.0026400466093749993
INFO:root:113.80674011, 157.72919667, 33.24609542, -33.24188408, 47.08036230, 0.0026400466093749993
INFO:root:113.18971867, 158.89450595, 32.84872695, -32.67263772, 47.48934922, 0.0026400466093749993
INFO:root:112.83887237, 157.84416431, 32.36050751, -33.12511422, 47.12859127, 0.0026400466093749993
INFO:root:112.64109572, 157.89712795, 31.97552391, -33.29643193, 47.16023457, 0.0026400466093749993
INFO:root:112.12426280, 156.67354091, 31.81778350, -33.30441502, 46.77136105, 0.0026400466093749993
