INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, factor=2, initial_epochs=10, learning_rate=0.007, levels=1, lstm_layers=1, model='KVAE_hier', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting Hierachical KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:516.21982762, 1563.10735723, 36.65663223, -10.63096906, 462.58952895, 0.007
INFO:root:161.47588762, 348.66961173, 45.86179120, -11.01320842, 105.12009666, 0.007
INFO:root:152.61494056, 318.67980401, 44.70555686, -12.30543871, 95.86435729, 0.007
INFO:root:140.63758067, 280.04567243, 43.11365901, -13.51021648, 84.48345270, 0.007
INFO:root:138.42495886, 273.67731625, 41.37510495, -14.94665542, 82.53892981, 0.007
INFO:root:133.86303304, 259.13130963, 40.48295300, -15.64068399, 78.18902373, 0.007
INFO:root:130.35258109, 249.08225365, 39.35348719, -16.27441475, 75.13036384, 0.007
INFO:root:130.15011621, 249.32658752, 38.34276274, -17.00937406, 74.99976249, 0.007
INFO:root:126.53697660, 237.53548678, 37.78392865, -17.49239888, 71.55809799, 0.007
INFO:root:125.46148950, 235.08988226, 36.79999509, -18.13452680, 70.80276326, 0.007
INFO:root:131.64557481, 266.77772025, 36.67086814, -14.94138757, 74.68470478, 0.007
INFO:root:113.14223997, 211.23486850, 35.85279582, -13.91898105, 63.39696086, 0.007
INFO:root:110.93309603, 209.39831289, 34.41121318, -13.70238604, 62.94527333, 0.007
INFO:root:107.24459459, 199.29215999, 33.60258263, -13.85436147, 59.71438497, 0.007
INFO:root:104.98982637, 195.69644511, 33.18531287, -13.09557770, 58.62502685, 0.007
INFO:root:105.31755947, 199.51141626, 32.22300091, -13.24113102, 59.88634861, 0.007
INFO:root:102.27052539, 190.67442541, 32.09810741, -12.97008810, 57.13062528, 0.007
INFO:root:104.05264707, 198.17089732, 31.34849280, -13.25288260, 59.44306735, 0.007
INFO:root:100.52049046, 186.56463569, 31.20836485, -13.34273254, 55.84669482, 0.007
INFO:root:99.83167411, 185.96936240, 31.12837029, -12.91249314, 55.61044750, 0.007
INFO:root:100.23393621, 188.38150458, 30.87744969, -12.84203286, 56.39867053, 0.007
INFO:root:95.84086221, 175.02346670, 30.77527672, -12.55854341, 52.30421479, 0.0059499999999999996
INFO:root:94.60106152, 170.87677572, 30.79753976, -12.54048688, 50.99253660, 0.0059499999999999996
INFO:root:93.75120979, 169.16703484, 30.43612080, -12.56497632, 50.51806550, 0.0059499999999999996
INFO:root:95.25827956, 176.60526234, 29.48474331, -12.79195529, 52.91558562, 0.0059499999999999996
INFO:root:93.49645399, 168.50991305, 29.67666263, -13.26681528, 50.29884131, 0.0059499999999999996
INFO:root:92.54838821, 166.37406917, 29.47481470, -13.16135041, 49.63117813, 0.0059499999999999996
INFO:root:94.60109118, 175.61162448, 28.99838711, -12.91921451, 52.54612833, 0.0059499999999999996
INFO:root:92.51799140, 167.02532228, 29.21266131, -13.19773133, 49.85445821, 0.0059499999999999996
INFO:root:93.63604393, 173.21559933, 28.72908411, -12.94227776, 51.85817181, 0.0059499999999999996
INFO:root:92.58406896, 169.35024659, 28.43368008, -13.34531286, 50.69293853, 0.0059499999999999996
INFO:root:92.42373868, 168.21928172, 28.36221677, -13.59573553, 50.23075538, 0.0059499999999999996
INFO:root:90.76311844, 163.16636682, 28.71284128, -13.10036532, 48.67345944, 0.0059499999999999996
INFO:root:90.59799727, 162.99300884, 28.57929430, -13.12079829, 48.64705666, 0.0059499999999999996
INFO:root:91.29589951, 165.76202310, 28.36075379, -13.20653702, 49.50626337, 0.0059499999999999996
INFO:root:91.15916061, 165.37457485, 28.18308270, -13.36370370, 49.39789946, 0.0059499999999999996
INFO:root:90.63881728, 164.16121174, 27.92733200, -13.46311988, 49.02351106, 0.0059499999999999996
INFO:root:90.11406695, 162.58300903, 28.08995726, -13.24920551, 48.57576881, 0.0059499999999999996
INFO:root:91.22714717, 166.86835043, 27.75737333, -13.40926669, 49.92588687, 0.0059499999999999996
INFO:root:89.89221420, 161.30815602, 27.58660871, -13.91315698, 48.14033143, 0.0059499999999999996
INFO:root:90.86982404, 166.45721782, 27.38757679, -13.54507976, 49.79707679, 0.0059499999999999996
INFO:root:87.44317054, 152.56330925, 27.85503409, -13.81914205, 45.42423966, 0.0050574999999999995
INFO:root:86.93387133, 152.23955490, 27.71202112, -13.54998207, 45.39767497, 0.0050574999999999995
INFO:root:86.70134054, 151.98064835, 27.40092246, -13.70622196, 45.28738858, 0.0050574999999999995
INFO:root:87.77080758, 157.56131401, 27.07538112, -13.42703040, 47.11309989, 0.0050574999999999995
INFO:root:86.60678032, 151.54842413, 27.16578053, -13.97647092, 45.15047861, 0.0050574999999999995
INFO:root:87.23332572, 155.29042926, 26.99455229, -13.65164283, 46.37710235, 0.0050574999999999995
INFO:root:86.52660406, 152.15207733, 26.83653330, -14.04444568, 45.36338209, 0.0050574999999999995
INFO:root:86.87850918, 153.53620916, 26.82766062, -13.98998387, 45.78995598, 0.0050574999999999995
INFO:root:86.30936258, 153.07606789, 26.56603598, -13.82050471, 45.73541614, 0.0050574999999999995
INFO:root:86.55313514, 152.85265192, 26.48668537, -14.21065264, 45.58509055, 0.0050574999999999995
INFO:root:85.70211944, 149.63730531, 26.62885679, -14.18206941, 44.60867662, 0.0050574999999999995
INFO:root:85.99645554, 150.40400511, 26.56685109, -14.30840115, 44.83391304, 0.0050574999999999995
INFO:root:85.70261074, 151.41941697, 26.35972929, -13.91705454, 45.21085509, 0.0050574999999999995
INFO:root:85.71519954, 149.69504857, 26.15265122, -14.65403202, 44.60788121, 0.0050574999999999995
INFO:root:85.20742315, 148.37061449, 26.37081773, -14.32541971, 44.18661753, 0.0050574999999999995
INFO:root:85.79533974, 151.19182487, 26.24205715, -14.19573334, 45.10055097, 0.0050574999999999995
INFO:root:84.64393281, 147.04737508, 26.31714280, -14.21257581, 43.83106728, 0.0050574999999999995
INFO:root:84.99840820, 148.20425966, 26.22055752, -14.31657114, 44.17376566, 0.0050574999999999995
