INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, factor=2, initial_epochs=10, learning_rate=0.007, levels=2, lstm_layers=1, model='KVAE_hier', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting Hierachical KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1280.04974431, 4140.86131422, -7.47150292, -45.26279989, 1176.76408908, 0.007
INFO:root:440.51635821, 1269.96883344, 13.99200190, -45.53369026, 393.97948408, 0.007
INFO:root:331.37106854, 877.41828088, 21.01100072, -47.13457373, 263.04034443, 0.007
INFO:root:293.95880801, 736.17728704, 25.35457360, -47.75103951, 217.83865144, 0.007
INFO:root:271.09906918, 651.51435717, 27.76437839, -47.88037654, 192.34046125, 0.007
INFO:root:248.49385735, 565.32114536, 30.42575061, -48.47175780, 165.57305850, 0.007
INFO:root:235.62752449, 515.98406982, 31.80591315, -49.02638344, 150.97877947, 0.007
INFO:root:234.43668405, 510.03201873, 33.19068737, -48.23638327, 149.55606659, 0.007
INFO:root:228.83863015, 490.14094833, 35.48492960, -46.31140866, 144.99794827, 0.007
INFO:root:210.16828774, 427.39156602, 37.89895736, -44.05185371, 125.94829695, 0.007
INFO:root:244.02521710, 604.18477891, 37.38876886, -25.38100609, 164.83976031, 0.007
INFO:root:165.17442167, 350.00672391, 40.93408213, -19.23831814, 105.23026208, 0.007
INFO:root:151.52270353, 312.03533008, 40.51321392, -17.39888686, 93.90317767, 0.007
INFO:root:152.98538565, 317.84107411, 40.06984141, -17.56321996, 94.56003976, 0.007
INFO:root:162.23964148, 356.81299987, 38.65688126, -16.53885649, 107.72828317, 0.007
INFO:root:144.17681384, 294.26327302, 38.66037219, -17.23745661, 88.55728082, 0.007
INFO:root:138.08774546, 276.39667405, 38.27306670, -16.89567304, 83.28016469, 0.007
INFO:root:132.45384204, 257.04113499, 37.39463140, -17.94686655, 77.40997372, 0.007
INFO:root:128.68186256, 244.23747987, 36.82325793, -18.58735725, 73.36205002, 0.007
INFO:root:127.85895477, 241.90459085, 36.00690269, -19.28067196, 72.57740537, 0.007
INFO:root:132.73594499, 260.14936404, 35.61978181, -19.07135017, 78.15591551, 0.007
INFO:root:128.52436328, 250.55015352, 34.79232757, -18.56698678, 75.32921388, 0.0059499999999999996
INFO:root:122.25736942, 227.46994096, 34.90661928, -19.10976517, 68.27618708, 0.0059499999999999996
INFO:root:120.41451817, 220.31247721, 34.34055534, -19.98021653, 66.02765081, 0.0059499999999999996
INFO:root:126.55809975, 243.36895269, 33.48053401, -20.06687761, 73.01743998, 0.0059499999999999996
INFO:root:125.98882610, 244.36071043, 33.21623995, -19.46436955, 73.33420833, 0.0059499999999999996
INFO:root:118.91946876, 219.57995142, 33.32408029, -19.72140070, 65.79869553, 0.0059499999999999996
INFO:root:118.10979459, 216.91003611, 32.75025597, -20.28652527, 65.10057174, 0.0059499999999999996
INFO:root:117.11253095, 215.04473684, 32.04656753, -20.55253967, 64.49725858, 0.0059499999999999996
INFO:root:116.29741731, 211.12597656, 31.57078209, -21.38883976, 63.28867306, 0.0059499999999999996
INFO:root:116.25998608, 212.98361843, 31.10158717, -21.26331037, 63.87677292, 0.0059499999999999996
INFO:root:115.79575607, 209.56964247, 30.84564122, -22.07921917, 62.79414310, 0.0059499999999999996
INFO:root:114.58489980, 208.14105340, 30.77735210, -21.36522935, 62.16754112, 0.0059499999999999996
INFO:root:115.94301651, 212.45612268, 30.42783790, -21.77833883, 63.59475457, 0.0059499999999999996
INFO:root:112.09160171, 200.42625891, 30.35985512, -21.60386601, 59.99870011, 0.0059499999999999996
INFO:root:114.93249236, 211.73354349, 29.78229356, -21.63013328, 63.53924807, 0.0059499999999999996
INFO:root:114.45670329, 210.60135390, 29.03572198, -22.24057307, 63.15145493, 0.0059499999999999996
INFO:root:112.05437432, 202.19582763, 29.12597260, -22.26965102, 60.52222713, 0.0059499999999999996
INFO:root:113.27894679, 207.19835866, 28.48392771, -22.63550906, 61.96905793, 0.0059499999999999996
INFO:root:118.70430368, 226.87195732, 28.13308786, -22.50962587, 67.83867940, 0.0059499999999999996
INFO:root:111.18587013, 200.32499135, 28.53837414, -22.54999573, 59.97986318, 0.0059499999999999996
INFO:root:106.38528149, 183.87152119, 28.66531150, -22.55851143, 54.85819896, 0.0050574999999999995
INFO:root:108.28340056, 190.30258217, 28.33769426, -22.85492952, 56.88736541, 0.0050574999999999995
INFO:root:107.98861686, 189.34131458, 27.71380835, -23.47241193, 56.54278159, 0.0050574999999999995
INFO:root:107.17259593, 188.35574553, 27.17168072, -23.49418950, 56.26915002, 0.0050574999999999995
INFO:root:106.54647162, 185.27053080, 27.33700856, -23.62830199, 55.33834902, 0.0050574999999999995
INFO:root:108.22837711, 190.82980907, 26.72860626, -24.25082568, 57.06222978, 0.0050574999999999995
INFO:root:105.86159218, 184.04683212, 26.75688263, -23.89065853, 54.94662983, 0.0050574999999999995
INFO:root:106.06213758, 185.50500276, 26.54571886, -23.86491522, 55.45675577, 0.0050574999999999995
INFO:root:106.15154250, 185.59862779, 26.21622399, -24.25572748, 55.43465573, 0.0050574999999999995
INFO:root:104.87385629, 182.10056141, 25.96537223, -24.27831338, 54.39794878, 0.0050574999999999995
INFO:root:106.71354530, 187.22614086, 25.65238023, -24.89332059, 55.87630120, 0.0050574999999999995
INFO:root:108.67361479, 195.26185415, 25.60085413, -24.49420195, 58.19705712, 0.0050574999999999995
INFO:root:104.99668854, 184.00153322, 25.31303399, -24.48319243, 54.93972450, 0.0050574999999999995
INFO:root:104.81081535, 182.25258839, 25.29692039, -24.83811622, 54.41873237, 0.0050574999999999995
INFO:root:112.15912008, 210.68200317, 24.58785733, -24.36665921, 62.94519540, 0.0050574999999999995
INFO:root:105.28556283, 185.59495602, 24.97896274, -24.62811106, 55.39884780, 0.0050574999999999995
INFO:root:103.88299657, 180.27834156, 25.17218715, -24.62730466, 53.79830551, 0.0050574999999999995
INFO:root:104.30208010, 180.13881674, 24.83571345, -25.42471933, 53.73468964, 0.0050574999999999995
INFO:root:105.04636163, 181.55810547, 24.46508661, -26.11384102, 54.19444004, 0.0050574999999999995
INFO:root:103.90171744, 180.72815907, 24.38389170, -25.29937549, 53.95725646, 0.0050574999999999995
INFO:root:101.80233986, 173.81736755, 24.54448804, -25.11263911, 51.81726470, 0.004298875
INFO:root:104.11260364, 181.65786685, 24.30293494, -25.31230604, 54.17765668, 0.004298875
INFO:root:101.28327223, 171.81192963, 24.06215163, -25.67753935, 51.21775089, 0.004298875
INFO:root:100.75582586, 170.35684822, 24.04453360, -25.60423501, 50.76131516, 0.004298875
INFO:root:99.66739975, 166.80752853, 23.88794817, -25.73719084, 49.66593754, 0.004298875
INFO:root:100.93257647, 169.05376116, 23.60183544, -26.61461064, 50.38147851, 0.004298875
INFO:root:99.45765569, 166.05453086, 23.53698965, -26.10430492, 49.43947572, 0.004298875
INFO:root:99.77522045, 167.75040291, 23.42328325, -26.02681412, 49.98845059, 0.004298875
INFO:root:101.04129927, 172.61965247, 23.09845227, -26.15694882, 51.43346772, 0.004298875
INFO:root:100.59831678, 172.31934250, 22.86926885, -26.03324287, 51.38769575, 0.004298875
INFO:root:99.81969246, 169.03939626, 22.67472098, -26.43315005, 50.40870623, 0.004298875
INFO:root:99.94120579, 169.29920129, 22.48690929, -26.66453391, 50.44935733, 0.004298875
