INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall_20', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE_mod', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1', train_reconstruction=False, wandb_on='None', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1245.31439132, 4011.45833230, 22.67296820, -19.20387336, 1150.72605143, 0.007
INFO:root:279.08264778, 744.13227245, 45.51940198, -10.32355453, 221.80023097, 0.007
INFO:root:224.43938243, 546.95656769, 48.79114228, -11.56126400, 163.30239549, 0.007
INFO:root:172.69479834, 368.74613199, 49.56179452, -12.50915939, 110.18531877, 0.007
INFO:root:162.24274107, 333.98622305, 48.93178100, -13.11508904, 100.27091207, 0.007
INFO:root:154.06628882, 306.94122585, 48.29512811, -13.68878847, 92.31161470, 0.007
INFO:root:148.54275744, 290.75257429, 46.99424396, -14.32273711, 87.57341283, 0.007
INFO:root:145.40826938, 282.10002020, 46.28126439, -14.49699566, 85.12483341, 0.007
INFO:root:146.94088224, 290.19418953, 45.11145111, -14.77117142, 87.46829417, 0.007
INFO:root:151.23582053, 307.84509644, 43.89445930, -14.98782887, 92.59530871, 0.007
INFO:root:289.08506408, 785.81562419, 38.64142317, -14.69894589, 181.03295898, 0.007
INFO:root:126.91019894, 236.34817833, 44.79687717, -11.20886501, 70.90333562, 0.007
INFO:root:127.41612987, 243.61309196, 43.41082826, -10.92137139, 73.29950120, 0.007
INFO:root:135.43005719, 275.51873142, 41.86566655, -10.90876772, 82.40828526, 0.007
INFO:root:121.33592495, 227.53846470, 42.62231131, -10.45207176, 68.33554483, 0.007
INFO:root:118.76535285, 222.39545605, 41.48400285, -10.56271091, 66.97762815, 0.007
INFO:root:116.97774351, 218.79594054, 40.54591471, -10.79304312, 65.90930663, 0.007
INFO:root:115.68075871, 216.64549564, 39.59115011, -11.09595715, 65.18030659, 0.007
INFO:root:132.87162288, 281.82361728, 37.90902710, -10.41550788, 85.02624676, 0.007
INFO:root:112.85100401, 212.70167155, 38.71613157, -10.32436813, 63.90468177, 0.007
INFO:root:108.14561115, 196.06281812, 38.71912925, -10.60763395, 58.84797248, 0.007
INFO:root:106.28352539, 191.38371702, 38.07255211, -10.79585679, 57.39594061, 0.0059499999999999996
INFO:root:111.06987482, 209.44140239, 37.17597961, -11.06147158, 62.82259089, 0.0059499999999999996
INFO:root:105.28222415, 193.86642244, 36.18999706, -10.93229818, 58.18574843, 0.0059499999999999996
INFO:root:108.16737086, 201.39801238, 35.99866911, -11.74929591, 60.50642810, 0.0059499999999999996
INFO:root:115.33810309, 228.37430582, 34.98538512, -11.84042356, 68.62511966, 0.0059499999999999996
INFO:root:104.34080486, 193.10128746, 35.45145438, -10.95896234, 57.90860874, 0.0059499999999999996
INFO:root:101.21396540, 181.49140312, 35.41147440, -11.35506771, 54.34206888, 0.0059499999999999996
INFO:root:104.27235200, 190.28790747, 34.94628798, -12.23969018, 56.88016544, 0.0059499999999999996
INFO:root:102.94242057, 190.12105415, 34.27866506, -11.62743665, 57.09535618, 0.0059499999999999996
INFO:root:101.32932919, 185.44076171, 33.92966283, -11.76743577, 55.61445941, 0.0059499999999999996
INFO:root:101.53744285, 184.08953027, 33.53374525, -12.77683626, 55.19811621, 0.0059499999999999996
INFO:root:102.99637758, 191.83082329, 33.03336011, -12.41376832, 57.56152358, 0.0059499999999999996
INFO:root:99.71876622, 180.14947935, 33.07803345, -12.59588639, 53.96161362, 0.0059499999999999996
INFO:root:100.75274040, 185.13925267, 32.78466903, -12.42629272, 55.53119640, 0.0059499999999999996
INFO:root:99.78284609, 182.27183417, 32.51754080, -12.58375290, 54.70129863, 0.0059499999999999996
INFO:root:101.35987806, 186.68035174, 32.18301334, -13.17275718, 55.88873141, 0.0059499999999999996
INFO:root:100.57884255, 187.53572971, 31.94264738, -12.37547410, 56.20117482, 0.0059499999999999996
INFO:root:100.71685849, 186.20570837, 31.77621665, -13.07892702, 55.74813577, 0.0059499999999999996
INFO:root:98.22944496, 180.21759709, 31.64808177, -12.51608162, 54.05730684, 0.0059499999999999996
INFO:root:97.08409466, 176.36467038, 31.49977165, -12.67491980, 52.86297999, 0.0059499999999999996
INFO:root:96.09216106, 169.14961841, 31.67532769, -13.67194562, 50.53831443, 0.0050574999999999995
INFO:root:94.55573900, 167.59706367, 31.44629638, -12.83032155, 50.16507064, 0.0050574999999999995
INFO:root:95.42365806, 171.00462728, 30.96463841, -13.15763017, 51.16569958, 0.0050574999999999995
INFO:root:94.12600525, 166.37521517, 30.70489946, -13.50853892, 49.75126049, 0.0050574999999999995
INFO:root:94.25029967, 165.80741515, 30.52412791, -13.98394505, 49.50274687, 0.0050574999999999995
INFO:root:93.33866718, 164.94685113, 30.48245932, -13.37215047, 49.34041364, 0.0050574999999999995
INFO:root:94.25653163, 168.85116133, 30.02745947, -13.57372135, 50.53185369, 0.0050574999999999995
INFO:root:93.11539652, 164.89218642, 29.84223260, -13.80550557, 49.32920263, 0.0050574999999999995
INFO:root:93.50546023, 165.68116200, 29.59362902, -14.20747973, 49.54951670, 0.0050574999999999995
INFO:root:92.65008120, 162.66156276, 29.40069887, -14.45091139, 48.64360442, 0.0050574999999999995
INFO:root:92.34914881, 162.79938710, 29.33313539, -14.17619496, 48.70341950, 0.0050574999999999995
INFO:root:93.30129580, 163.32617149, 28.91336122, -15.39008149, 48.81759291, 0.0050574999999999995
INFO:root:93.26347003, 164.53248171, 28.57933187, -15.32439192, 49.20345698, 0.0050574999999999995
INFO:root:92.01298861, 163.23889489, 28.56483380, -14.47648441, 48.79791240, 0.0050574999999999995
INFO:root:90.85875364, 159.04734880, 28.56571536, -14.57883091, 47.49080310, 0.0050574999999999995
INFO:root:92.59328480, 163.77228556, 28.21607343, -15.24552377, 48.91178131, 0.0050574999999999995
INFO:root:91.95371604, 162.35238435, 28.16830625, -15.07969340, 48.44212998, 0.0050574999999999995
INFO:root:92.04533106, 162.30961976, 27.82812809, -15.52431496, 48.43298253, 0.0050574999999999995
INFO:root:91.24722696, 161.35521650, 27.92576802, -14.91489211, 48.15986513, 0.0050574999999999995
INFO:root:91.96505380, 163.91925030, 27.78330281, -15.00597363, 48.96860050, 0.0050574999999999995
INFO:root:90.00974399, 157.74588611, 27.77943507, -14.90654093, 47.06290040, 0.004298875
INFO:root:90.27146873, 157.35399773, 27.76392748, -15.30134036, 46.94168038, 0.004298875
INFO:root:90.63546425, 160.40217359, 27.56273504, -14.95207503, 47.92544440, 0.004298875
INFO:root:90.26230930, 157.26905726, 27.50740747, -15.57418287, 46.90878624, 0.004298875
INFO:root:89.11060816, 155.66056940, 27.33199120, -15.08044447, 46.46819610, 0.004298875
INFO:root:89.12261750, 154.91766570, 27.19354405, -15.45377207, 46.24422291, 0.004298875
INFO:root:89.71521073, 155.52050356, 27.15676622, -15.90229203, 46.33282785, 0.004298875
INFO:root:89.08432635, 155.82041197, 26.97152548, -15.36667536, 46.50310048, 0.004298875
INFO:root:88.83487450, 153.41274696, 26.90987780, -15.90117129, 45.75128864, 0.004298875
INFO:root:88.51428329, 153.84124814, 26.78879303, -15.57311438, 45.88939005, 0.004298875
INFO:root:87.97058733, 152.17940009, 26.60495630, -15.71180979, 45.39941764, 0.004298875
INFO:root:88.26775505, 152.22342035, 26.58479179, -16.01593586, 45.34609063, 0.004298875
INFO:root:87.98777954, 152.62587555, 26.48664453, -15.71337007, 45.48784763, 0.004298875
INFO:root:87.01295983, 149.79974713, 26.45559060, -15.61744362, 44.66465711, 0.004298875
INFO:root:88.17098796, 150.92559776, 26.07909924, -16.81420786, 45.00641468, 0.004298875
INFO:root:90.27715302, 159.10564645, 25.92524401, -16.62021338, 47.47632874, 0.004298875
INFO:root:87.78547466, 151.61166073, 25.88088113, -16.42109296, 45.15810100, 0.004298875
INFO:root:87.79687461, 150.09400554, 26.08112796, -16.68754292, 44.73711535, 0.004298875
INFO:root:87.20477556, 150.66979594, 25.90954406, -16.09429122, 44.94303957, 0.004298875
INFO:root:86.49802746, 148.33660367, 25.81561045, -16.18143457, 44.20658744, 0.004298875
INFO:root:86.49179657, 147.07953209, 25.70948432, -16.65845118, 43.79040122, 0.0036540437499999997
INFO:root:86.86306415, 148.49412653, 25.70119445, -16.61362932, 44.28525910, 0.0036540437499999997
INFO:root:85.85313261, 146.35522191, 25.56229244, -16.38427202, 43.57065833, 0.0036540437499999997
INFO:root:85.97878912, 147.45013331, 25.43504630, -16.30870188, 43.91210532, 0.0036540437499999997
INFO:root:84.83447604, 143.64602333, 25.32317268, -16.41749511, 42.76143975, 0.0036540437499999997
INFO:root:84.69520202, 143.23571352, 25.33481583, -16.38967124, 42.65012852, 0.0036540437499999997
INFO:root:84.88879366, 143.54075487, 25.03844638, -16.78811945, 42.75795654, 0.0036540437499999997
INFO:root:85.16580335, 143.35717445, 24.98314010, -17.17550942, 42.66905719, 0.0036540437499999997
INFO:root:84.91985369, 142.57636947, 24.76734531, -17.37959643, 42.41129148, 0.0036540437499999997
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall_20/kvae_mod/v1/scale=0.3/scheduler_step=20/kvae_state_dict_scale=0.3_89.pth
