INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v1/attempt2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2617.44953408, 6277.37264490, 99.31694078, -634.92072432, 1830.43130668, 0.007
INFO:root:640.94791371, 1502.69301571, 145.93052275, -44.20946937, 452.18548370, 0.007
INFO:root:543.19949467, 1177.67244803, 145.88863412, -44.00911475, 354.60889877, 0.007
INFO:root:454.78794572, 876.39745511, 142.69624377, -49.17245379, 262.83843780, 0.007
INFO:root:437.69921115, 822.02965959, 138.83670316, -52.25360086, 246.94985155, 0.007
INFO:root:401.49789648, 704.74665201, 133.90743236, -56.16645847, 211.35281839, 0.007
INFO:root:403.99422311, 715.92054272, 128.83061349, -60.38743705, 214.83155347, 0.007
INFO:root:388.52660167, 666.25454809, 125.04125340, -63.60897639, 200.07853670, 0.007
INFO:root:384.21774998, 656.02132265, 121.18351473, -66.22782992, 196.88127438, 0.007
INFO:root:377.41233318, 640.93720493, 118.00669074, -67.12447467, 192.23494978, 0.007
INFO:root:470.58216942, 995.34852513, 110.23495294, -61.74264581, 267.50222020, 0.007
INFO:root:354.26184524, 595.45445825, 111.57284837, -64.05265404, 178.20841008, 0.007
INFO:root:385.56075270, 672.98876875, 112.69978580, -70.96432843, 201.20009044, 0.007
INFO:root:379.13602017, 652.27443622, 108.59772258, -74.85596074, 195.64765891, 0.007
INFO:root:360.04033380, 586.19854542, 105.69727092, -78.48349374, 175.67749577, 0.007
INFO:root:352.06254874, 572.91165317, 103.61251578, -76.57653046, 171.59013376, 0.007
INFO:root:360.60812655, 616.21727136, 97.92726864, -77.81566863, 184.22613205, 0.007
INFO:root:343.12609029, 579.89824915, 96.49048498, -72.66612362, 173.70921374, 0.007
INFO:root:332.68590647, 549.90662554, 95.25168474, -72.46222778, 164.69461575, 0.007
INFO:root:349.47556331, 568.66737337, 95.57277140, -83.30257316, 170.35200238, 0.007
INFO:root:341.30999931, 545.97905347, 96.20908905, -81.30718848, 163.25334012, 0.007
INFO:root:329.66132001, 518.77111972, 95.98510149, -78.04487591, 155.26719520, 0.007
INFO:root:331.38116233, 532.77115918, 93.70472129, -77.84508715, 159.53724369, 0.007
INFO:root:328.35046932, 510.97659049, 93.52731960, -81.53016683, 152.81589260, 0.007
INFO:root:324.37814428, 509.67234132, 93.02112735, -78.45530856, 152.47569741, 0.007
INFO:root:337.68131744, 548.08767467, 92.02509279, -81.22991590, 164.13155895, 0.007
INFO:root:324.54037523, 505.40289482, 92.43162546, -80.48787547, 151.18835294, 0.007
INFO:root:319.41997064, 490.11302136, 91.71558803, -80.67047116, 146.53399328, 0.007
INFO:root:344.83281208, 490.79114158, 91.81490831, -105.78055579, 146.79042053, 0.007
INFO:root:323.65318612, 498.59858305, 90.59046766, -83.48313741, 148.98622199, 0.007
INFO:root:324.33343735, 492.58310092, 89.31565906, -87.24284204, 147.25160946, 0.007
INFO:root:330.62419648, 527.11555802, 87.35878958, -85.13073307, 157.81045921, 0.007
INFO:root:335.52049275, 500.36579749, 91.14463092, -94.26611698, 149.66168504, 0.007
INFO:root:335.05088099, 505.25289839, 94.09301039, -89.38199477, 151.14845597, 0.007
INFO:root:327.13464367, 497.10412598, 90.96983532, -87.03356430, 148.81133722, 0.007
INFO:root:371.91438953, 555.99853302, 95.65321117, -109.46161179, 166.58530421, 0.007
INFO:root:353.53378807, 523.25569551, 101.07302691, -95.48404568, 156.71098784, 0.007
INFO:root:327.79164710, 493.94969381, 96.24346253, -83.36327030, 147.83978544, 0.007
INFO:root:326.07887667, 494.12688179, 93.15271783, -84.68808791, 147.87532627, 0.007
INFO:root:349.95407959, 537.27367756, 89.03652468, -99.73544632, 161.02400966, 0.007
INFO:root:333.91145616, 502.03240092, 83.45637668, -99.84535275, 150.33086925, 0.007
INFO:root:341.96716311, 544.62160652, 81.68927065, -96.89140488, 163.45524257, 0.007
INFO:root:339.39814942, 543.80736780, 80.27097184, -95.98496124, 163.39686244, 0.007
INFO:root:327.84782924, 501.34342189, 81.60862994, -95.83616735, 150.00436635, 0.007
INFO:root:325.49081994, 520.74253816, 78.67687799, -90.59117350, 155.76936097, 0.007
INFO:root:313.18953270, 490.59212596, 79.10913985, -86.90274872, 146.70396657, 0.007
INFO:root:314.70074658, 500.68868280, 80.26916086, -84.22497482, 149.88073867, 0.007
INFO:root:307.15123447, 476.85770334, 81.34351305, -82.75040513, 142.53053080, 0.007
INFO:root:317.51989263, 516.81449842, 80.92327055, -81.55226566, 154.69592523, 0.007
INFO:root:310.60398457, 485.29238192, 81.69864941, -83.31761462, 145.14943700, 0.007
INFO:root:310.80299242, 486.52518031, 82.46062139, -82.38481122, 145.43180643, 0.007
INFO:root:308.58453064, 478.83118026, 81.59981979, -83.33535131, 143.11342441, 0.007
INFO:root:333.95092634, 539.61625331, 75.57969167, -96.48635268, 161.74466817, 0.007
INFO:root:311.19597450, 492.89336283, 82.24007401, -81.08788522, 147.38455647, 0.007
INFO:root:315.99365183, 514.48440319, 81.37864938, -80.26967584, 153.75346088, 0.007
INFO:root:306.80900243, 464.43739601, 82.52548888, -84.95228742, 138.73728632, 0.007
INFO:root:310.14700568, 486.43460899, 81.39983732, -82.81677925, 145.51836220, 0.007
INFO:root:312.95461259, 485.97555425, 80.86956379, -86.29237589, 145.40893662, 0.007
INFO:root:310.14899653, 482.05379996, 82.34282038, -83.19002975, 144.14804174, 0.007
INFO:root:310.12504989, 488.16299944, 81.56476972, -82.11137442, 146.03179295, 0.007
INFO:root:306.08989796, 468.59570254, 81.07303629, -84.43814464, 140.03372601, 0.007
INFO:root:312.98998556, 483.24633692, 79.95698766, -88.05909086, 144.59659193, 0.007
INFO:root:306.02981941, 486.01003737, 79.14825230, -81.07854986, 145.41889827, 0.007
INFO:root:301.81161637, 462.63962861, 79.19470307, -83.82501777, 138.19065415, 0.007
INFO:root:324.86580162, 523.87869613, 77.48934980, -90.21283682, 157.11761130, 0.007
INFO:root:308.98129560, 478.89357646, 80.77995436, -84.53326208, 143.28616435, 0.007
INFO:root:312.85339322, 507.27325712, 77.75690630, -82.91450448, 151.90715600, 0.007
INFO:root:299.36362101, 462.80395624, 78.67509572, -81.84733162, 138.33701286, 0.007
INFO:root:303.31213919, 478.94036185, 77.77555871, -81.85446552, 143.00745465, 0.007
INFO:root:300.44292484, 459.29746533, 76.13434241, -86.51933696, 137.27590257, 0.007
INFO:root:317.47031774, 521.06111096, 74.64838954, -86.50358870, 156.10573209, 0.007
INFO:root:308.72243135, 497.31925624, 75.60468185, -83.92196694, 149.08838901, 0.007
INFO:root:303.12871246, 478.39594789, 74.46593456, -85.14398757, 143.37077560, 0.007
INFO:root:299.21655573, 466.20958015, 75.24547329, -84.10820220, 139.26408741, 0.007
INFO:root:300.43354077, 465.85897555, 75.54325667, -85.13258497, 139.32283749, 0.007
INFO:root:304.43750220, 467.68382856, 76.41141374, -87.72093362, 139.72386767, 0.007
INFO:root:294.25081114, 450.50960448, 76.21702221, -82.88090175, 134.56676648, 0.007
INFO:root:295.63356975, 458.32364630, 75.02040460, -83.11606471, 136.96858949, 0.007
INFO:root:300.95395347, 484.93762052, 73.04680405, -82.42585777, 144.86884429, 0.007
INFO:root:292.40867107, 456.00230145, 73.69438597, -81.91358829, 136.33033276, 0.007
INFO:root:298.67795654, 476.66712164, 73.66762190, -82.01019218, 142.45689742, 0.007
INFO:root:291.11466031, 446.15340817, 74.13296183, -83.13566981, 133.29396417, 0.007
INFO:root:293.49363979, 458.54923166, 73.17919572, -82.74966866, 136.96488219, 0.007
INFO:root:292.77813607, 446.43619260, 72.60122061, -86.24605073, 133.39396604, 0.007
INFO:root:306.72456642, 442.81748855, 71.53735427, -102.34195967, 132.24959652, 0.007
INFO:root:338.82086084, 473.41826149, 73.95797146, -122.83740467, 141.61240324, 0.007
INFO:root:341.47377124, 509.07910545, 71.79964882, -116.95038544, 152.85845782, 0.007
INFO:root:331.45055245, 457.55277403, 71.52802109, -122.65669402, 136.73413261, 0.007
INFO:root:349.12373617, 473.59324228, 73.50387355, -133.54188453, 141.77441086, 0.007
INFO:root:332.98753260, 491.87059828, 73.52458536, -111.90176168, 147.18787588, 0.007
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall_50/kvae/v1/attempt2/scale=0.3/scheduler_step=100/kvae_state_dict_scale=0.3_89.pth
