INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=100, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1/bonus', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:3191.27463854, 7238.47340422, 89.04107326, -930.69145112, 2089.59855837, 0.007
INFO:root:559.72828877, 1214.25428996, 144.06009893, -51.39188846, 367.07203723, 0.007
INFO:root:466.63731618, 955.82357419, 140.28652682, -39.60370602, 288.07176529, 0.007
INFO:root:414.24222111, 795.95640146, 134.98593383, -40.46935781, 239.78080895, 0.007
INFO:root:399.61855916, 757.46086713, 129.40631983, -42.97396979, 228.42055769, 0.007
INFO:root:372.77386273, 666.10977192, 125.06833192, -47.87259215, 200.56261060, 0.007
INFO:root:361.51655287, 638.97536396, 118.97991525, -50.84402106, 192.52832556, 0.007
INFO:root:367.03970147, 663.95924173, 111.79783188, -56.05408749, 200.08420830, 0.007
INFO:root:366.40995024, 666.64343806, 107.06009106, -59.35681914, 200.70788535, 0.007
INFO:root:355.36062954, 632.93523081, 105.59066539, -59.88938721, 190.50598650, 0.007
INFO:root:431.05320965, 921.91021884, 100.19877151, -54.28136373, 244.62727084, 0.007
INFO:root:344.98361069, 564.51131016, 103.91231799, -71.71789316, 169.65139226, 0.007
INFO:root:339.35015883, 536.16715586, 101.52235272, -76.97765263, 160.99499210, 0.007
INFO:root:350.98320212, 561.29210298, 97.46507467, -85.13049016, 168.37557983, 0.007
INFO:root:337.66738077, 505.71873270, 95.77661833, -90.17513622, 151.58732799, 0.007
INFO:root:338.57898611, 539.85880761, 94.50225009, -82.11908728, 161.75871909, 0.007
INFO:root:331.75726693, 515.35747844, 93.90406143, -83.24595531, 154.57245417, 0.007
INFO:root:354.25884281, 577.40234939, 90.62578972, -90.41234108, 173.41619718, 0.007
INFO:root:349.00424228, 475.61585931, 94.26533630, -112.05414124, 142.37356334, 0.007
INFO:root:344.58140092, 528.02692545, 92.93356833, -93.23974847, 158.15337221, 0.007
INFO:root:329.17148666, 481.01624643, 91.87860360, -92.98800303, 144.13859524, 0.007
INFO:root:328.88889804, 462.67618867, 92.27680245, -97.80923375, 138.41548298, 0.0059499999999999996
INFO:root:342.03753031, 511.47070293, 88.83486482, -99.76144915, 153.52967315, 0.0059499999999999996
INFO:root:316.67265301, 460.11589002, 88.20358791, -90.43429226, 137.59594989, 0.0059499999999999996
INFO:root:343.90957527, 458.70724176, 84.75195696, -121.54543982, 137.16908201, 0.0059499999999999996
INFO:root:374.77447338, 443.17685870, 84.87911195, -156.94229761, 132.45406672, 0.0059499999999999996
INFO:root:392.76409707, 445.46313360, 87.08515624, -172.03999513, 133.17999958, 0.0059499999999999996
INFO:root:331.81374202, 508.72590355, 86.05761174, -93.13835274, 152.22958748, 0.0059499999999999996
INFO:root:318.88332996, 503.04606016, 82.67239739, -85.29710798, 151.04018708, 0.0059499999999999996
INFO:root:344.49601472, 457.67271977, 86.11351344, -121.08068020, 137.01724331, 0.0059499999999999996
INFO:root:308.53562656, 443.02292220, 87.09572645, -88.53301721, 132.54975293, 0.0059499999999999996
INFO:root:321.55034911, 451.48156077, 86.78268224, -99.32319307, 135.19139371, 0.0059499999999999996
INFO:root:319.63222732, 434.06910949, 87.10151750, -102.30997180, 129.80862271, 0.0059499999999999996
INFO:root:325.39486294, 500.18472970, 85.33108516, -90.00835285, 150.27016464, 0.0059499999999999996
INFO:root:322.51952301, 500.22546464, 79.98653703, -92.46533982, 150.41635069, 0.0059499999999999996
INFO:root:327.25552666, 457.47958257, 80.38863893, -109.62300680, 136.92498123, 0.0059499999999999996
INFO:root:345.72692429, 514.43365964, 77.88762480, -113.50919546, 154.74403629, 0.0059499999999999996
INFO:root:321.06644211, 425.44095782, 80.01883654, -113.41531333, 126.99969895, 0.0059499999999999996
INFO:root:334.03720221, 431.02276767, 78.16223281, -126.56813333, 128.69265407, 0.0059499999999999996
INFO:root:353.09418377, 433.45657115, 79.21689168, -143.84031600, 129.38611554, 0.0059499999999999996
INFO:root:316.20392029, 424.32964291, 82.33219229, -106.57282990, 126.82499719, 0.0059499999999999996
INFO:root:322.35399425, 476.97947314, 81.98374575, -97.27640039, 143.46406784, 0.0050574999999999995
INFO:root:311.38921674, 476.86727730, 81.72113392, -86.60789327, 143.07604086, 0.0050574999999999995
