INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=2, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2560.39915909, 6151.41637251, 99.10191956, -615.87223831, 1783.20451540, 0.007
INFO:root:632.56115497, 1473.89288913, 143.96477718, -46.42849273, 442.20651109, 0.007
INFO:root:490.61447532, 1006.76801392, 145.53855852, -43.04549996, 302.28676950, 0.007
INFO:root:441.72191534, 837.12847434, 142.29201503, -48.29134944, 250.67568717, 0.007
INFO:root:415.41012680, 749.70054831, 138.46463921, -52.03531379, 225.02651686, 0.007
INFO:root:409.39428199, 731.33384053, 133.99307547, -56.00104608, 218.75263161, 0.007
INFO:root:391.95287616, 677.65142861, 130.41850184, -58.23893744, 202.85162810, 0.007
INFO:root:388.89046155, 675.58752752, 125.31560108, -60.89859342, 202.61075315, 0.007
INFO:root:395.51173365, 703.48823810, 120.34193498, -64.12331777, 209.38295449, 0.007
INFO:root:376.63928098, 637.88302671, 118.18722447, -67.08714276, 190.91667583, 0.007
INFO:root:513.35171036, 1139.37061013, 110.89715399, -60.64336258, 284.05889582, 0.007
INFO:root:355.83929247, 590.68507414, 112.25672519, -66.37703844, 176.22026616, 0.007
INFO:root:339.78863489, 573.86448893, 107.33520484, -60.29407771, 171.22834204, 0.007
INFO:root:333.08191776, 561.75306770, 103.57648789, -60.97950514, 167.52449483, 0.007
INFO:root:343.77218839, 603.26208399, 100.27280810, -62.52074852, 178.43273955, 0.007
INFO:root:318.14398613, 524.23441174, 97.94457949, -62.92907697, 156.29811281, 0.007
INFO:root:339.78291672, 541.87189362, 94.97932803, -82.24201325, 161.71771211, 0.007
INFO:root:319.01625064, 510.22745276, 92.62795884, -73.32004982, 152.27920221, 0.007
INFO:root:318.48219416, 525.19443118, 89.74480681, -71.17905188, 156.53408123, 0.007
INFO:root:324.50610091, 537.43402333, 90.11236927, -73.16351719, 160.09575891, 0.007
INFO:root:318.56976575, 501.80405810, 90.43233101, -77.59621089, 149.75732296, 0.007
INFO:root:306.25970342, 472.34849869, 91.71421260, -72.84093480, 140.81149807, 0.0059499999999999996
INFO:root:304.23901216, 462.14356752, 90.56987631, -75.02605962, 137.68172839, 0.0059499999999999996
INFO:root:301.94818086, 460.72758805, 87.56061792, -76.16928091, 137.32444272, 0.0059499999999999996
INFO:root:305.47166018, 469.65376525, 85.20893816, -79.36658651, 140.17843497, 0.0059499999999999996
INFO:root:307.16547976, 464.71544458, 82.72305230, -85.02778784, 138.61312356, 0.0059499999999999996
INFO:root:302.69819580, 458.56643191, 82.35978820, -82.76847214, 136.75400067, 0.0059499999999999996
INFO:root:304.84663006, 465.75777848, 82.09429883, -83.02499082, 139.07675045, 0.0059499999999999996
INFO:root:301.06805841, 455.41503284, 80.73734862, -83.70619390, 135.77277224, 0.0059499999999999996
INFO:root:301.96384530, 449.46468494, 81.32377314, -85.80066052, 133.94977497, 0.0059499999999999996
INFO:root:300.67887673, 454.88701654, 79.75117954, -84.46158798, 135.71882386, 0.0059499999999999996
INFO:root:302.55659588, 459.88470362, 78.85311287, -85.73806565, 137.19919231, 0.0059499999999999996
INFO:root:296.50742271, 446.58674476, 78.89666787, -83.63472503, 133.20600852, 0.0059499999999999996
INFO:root:300.62427924, 468.29712886, 75.20791944, -84.92721518, 139.85020811, 0.0059499999999999996
INFO:root:295.16976262, 443.47031281, 74.66601878, -87.46264429, 132.19557302, 0.0059499999999999996
INFO:root:292.95558093, 442.15736321, 73.56474098, -86.74362644, 131.76576908, 0.0059499999999999996
INFO:root:288.37404635, 433.48858059, 71.67472711, -86.65273948, 129.18616661, 0.0059499999999999996
INFO:root:295.29560318, 450.60326002, 69.35624219, -90.75837698, 134.48349636, 0.0059499999999999996
INFO:root:290.55031376, 436.30165129, 69.99064539, -89.66916816, 129.95768558, 0.0059499999999999996
INFO:root:282.87116271, 425.08543309, 69.32306902, -86.02245934, 126.60819123, 0.0059499999999999996
INFO:root:281.61658934, 426.03776230, 67.51996605, -86.28528925, 126.93653330, 0.0059499999999999996
INFO:root:284.63406304, 435.10848805, 66.47102873, -87.63048257, 129.57391173, 0.0050574999999999995
INFO:root:277.43162190, 410.13652884, 66.12463211, -88.26602604, 122.08102174, 0.0050574999999999995
INFO:root:284.69303553, 414.19156428, 65.95498696, -94.48057410, 123.33401057, 0.0050574999999999995
INFO:root:283.27380313, 417.94139167, 66.28333516, -91.60804467, 124.43597300, 0.0050574999999999995
INFO:root:280.51593892, 409.23195148, 66.45161671, -91.29473177, 121.82607245, 0.0050574999999999995
INFO:root:280.99104206, 407.95278270, 65.23154586, -93.37365697, 121.54162972, 0.0050574999999999995
INFO:root:294.85105600, 424.30552119, 64.65804998, -102.90134450, 126.47173149, 0.0050574999999999995
INFO:root:306.18042338, 414.16600960, 65.78454242, -116.14607206, 123.33242764, 0.0050574999999999995
INFO:root:278.06221477, 412.16660246, 64.33178463, -90.08044455, 122.73924693, 0.0050574999999999995
INFO:root:278.33907302, 403.07158530, 64.91842554, -92.49916755, 119.88286770, 0.0050574999999999995
INFO:root:278.49609596, 397.54976484, 64.53210639, -94.69905593, 118.32486880, 0.0050574999999999995
INFO:root:278.07704589, 392.41185688, 63.31660777, -97.03687631, 116.72378351, 0.0050574999999999995
INFO:root:274.14548191, 399.69571098, 61.84463013, -92.39213392, 119.02965337, 0.0050574999999999995
INFO:root:276.73070303, 389.47856286, 62.33105600, -97.55607357, 115.77498743, 0.0050574999999999995
INFO:root:280.39652210, 395.94668910, 62.09061838, -99.52189191, 117.75243868, 0.0050574999999999995
INFO:root:272.42895677, 405.20018035, 60.68063862, -90.18825938, 120.68055050, 0.0050574999999999995
INFO:root:272.89735850, 397.74601580, 60.84438613, -92.72916291, 118.41306601, 0.0050574999999999995
INFO:root:272.54293576, 399.85914447, 60.36582628, -92.21936225, 119.09407797, 0.0050574999999999995
INFO:root:274.68312282, 398.16708044, 59.32858033, -95.90441297, 118.47355423, 0.0050574999999999995
INFO:root:278.71762270, 405.97133291, 59.54389621, -97.38232218, 120.88943477, 0.0050574999999999995
INFO:root:272.94002214, 381.06455848, 58.96077711, -99.65987204, 113.22958442, 0.004298875
INFO:root:277.17234486, 390.35265394, 55.86448441, -104.20205927, 116.12711441, 0.004298875
INFO:root:277.85693693, 381.13817426, 54.75572234, -108.75975788, 113.35804515, 0.004298875
INFO:root:277.20541464, 386.00246143, 53.02902265, -108.37564898, 114.80427303, 0.004298875
INFO:root:277.51771333, 384.41498153, 53.54601584, -108.64719864, 114.33895534, 0.004298875
INFO:root:275.14797541, 387.14782151, 54.49096709, -104.51265716, 115.19312082, 0.004298875
INFO:root:270.68127860, 382.29982879, 53.98972850, -102.00159712, 113.65166002, 0.004298875
INFO:root:265.76944834, 379.29142790, 55.10692793, -96.87508775, 112.73887445, 0.004298875
INFO:root:264.54985766, 374.27847271, 56.61639771, -95.64991275, 111.24983361, 0.004298875
INFO:root:263.88671738, 371.91323231, 57.57459157, -94.73815130, 110.55818750, 0.004298875
INFO:root:276.15455457, 377.85666904, 57.74763741, -105.04991193, 112.40761556, 0.004298875
INFO:root:310.10061925, 398.92423671, 62.95905105, -127.46429257, 118.80319569, 0.004298875
INFO:root:288.50143907, 409.69193282, 61.46219705, -104.13165748, 122.15553532, 0.004298875
INFO:root:278.15126318, 412.72148686, 58.65909227, -95.67572029, 123.00242979, 0.004298875
INFO:root:277.86691142, 400.66587373, 58.97312908, -98.69401563, 119.40869048, 0.004298875
INFO:root:270.81149746, 383.22441713, 59.11695019, -96.72721772, 114.01915804, 0.004298875
INFO:root:272.87605700, 375.72080012, 62.34200938, -97.81780302, 111.72736791, 0.004298875
INFO:root:276.53798507, 376.64670636, 64.02476101, -99.51920675, 112.00279736, 0.004298875
INFO:root:273.01147733, 378.41491097, 64.82350256, -94.66349725, 112.56110819, 0.004298875
INFO:root:277.09337678, 371.54841001, 65.02306351, -100.60578587, 110.43872182, 0.004298875
INFO:root:279.25128238, 366.57503884, 66.04823432, -103.23053189, 108.96934903, 0.0036540437499999997
INFO:root:273.73818623, 365.04965949, 65.22219528, -99.00108914, 108.49783811, 0.0036540437499999997
INFO:root:272.40666729, 365.49906678, 64.64314846, -98.11379427, 108.61614796, 0.0036540437499999997
INFO:root:279.20564470, 359.24502505, 64.94337818, -106.48875403, 106.68601752, 0.0036540437499999997
