INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=3, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v3', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:3068.74776487, 6578.02479038, 87.91677870, -1007.42346915, 1938.51938002, 0.007
INFO:root:702.67632250, 1702.40907550, 131.41604512, -60.53753633, 519.83108773, 0.007
INFO:root:501.83022375, 1062.19336093, 134.93385159, -48.23835087, 319.42242305, 0.007
INFO:root:449.45815757, 888.43395296, 131.75961275, -51.16834709, 266.71768655, 0.007
INFO:root:415.61088830, 774.43181207, 127.12517708, -56.15616045, 232.96098872, 0.007
INFO:root:413.69941206, 770.83427400, 122.50626995, -59.94285039, 231.83074728, 0.007
INFO:root:390.98936833, 694.65596543, 120.54128042, -62.05128966, 208.62066330, 0.007
INFO:root:390.16491179, 691.79573982, 117.41559431, -65.21058805, 208.20841300, 0.007
INFO:root:381.95144095, 668.46559094, 114.08721457, -67.32454011, 200.98321980, 0.007
INFO:root:384.95048449, 686.71801525, 111.62724829, -67.30782395, 206.52301958, 0.007
INFO:root:460.90006355, 983.54532191, 106.88663524, -58.94982139, 257.84521805, 0.007
INFO:root:347.70169433, 599.14044500, 107.12333733, -60.83621601, 179.54540559, 0.007
INFO:root:332.36955761, 570.87262682, 105.10744705, -56.00031698, 170.84331828, 0.007
INFO:root:353.10353178, 584.64744150, 105.06794078, -72.64135327, 175.08800949, 0.007
INFO:root:341.30904931, 575.40670971, 104.02837109, -64.65865723, 172.48944383, 0.007
INFO:root:330.04269365, 557.68876327, 104.34139572, -58.39466134, 166.97705943, 0.007
INFO:root:346.31729450, 550.52564079, 105.05864701, -76.10094926, 164.60398233, 0.007
INFO:root:333.82597440, 583.90749597, 106.10722234, -52.54649675, 175.11781884, 0.007
INFO:root:316.96595949, 511.55907173, 110.72127732, -52.77695518, 152.91165200, 0.007
INFO:root:310.56482917, 527.08191268, 106.07100658, -46.36924318, 157.74799614, 0.007
INFO:root:330.65840067, 508.09746712, 107.94898462, -70.28017115, 151.83103418, 0.007
INFO:root:328.10484932, 504.96991978, 114.06886442, -62.54500211, 151.04875115, 0.0059499999999999996
INFO:root:312.73851696, 515.96810835, 111.44931195, -46.49876620, 154.38089368, 0.0059499999999999996
INFO:root:305.85651550, 500.58710028, 109.83964534, -45.84073373, 149.54613529, 0.0059499999999999996
INFO:root:298.76907460, 490.66342532, 110.24601624, -41.32402480, 146.53864760, 0.0059499999999999996
INFO:root:313.34381398, 470.92807823, 111.00370891, -61.06167557, 140.53143233, 0.0059499999999999996
INFO:root:317.03401911, 463.82628073, 112.79211878, -65.09401026, 138.38803023, 0.0059499999999999996
INFO:root:310.39749169, 463.99310167, 110.59226630, -60.60728896, 138.46507453, 0.0059499999999999996
