INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=100, initial_epochs=10, learning_rate=0.007, lstm_layers=3, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v3/new1', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:3303.77201284, 8529.13613406, 74.27747709, -670.75359733, 2467.67053534, 0.007
INFO:root:1015.40367383, 2824.65307306, 130.07943128, -37.92828733, 904.73528120, 0.007
INFO:root:702.26029933, 1731.80213569, 145.05655063, -37.66308471, 530.82048278, 0.007
INFO:root:546.23059101, 1193.54121972, 146.54255015, -41.62566263, 360.83546166, 0.007
INFO:root:478.90523101, 965.90367175, 143.03630960, -46.09780801, 290.63126223, 0.007
INFO:root:439.69589087, 826.65109933, 140.52939659, -51.17115433, 248.57625993, 0.007
INFO:root:436.05313068, 822.61984856, 136.74894097, -52.51822615, 247.49430760, 0.007
INFO:root:413.51785586, 742.79205750, 133.43572648, -57.24450389, 223.66613828, 0.007
INFO:root:410.73539460, 737.50986398, 129.67136043, -59.81106536, 222.06277174, 0.007
INFO:root:399.87784493, 706.06192503, 125.56465202, -62.49460615, 212.80883342, 0.007
INFO:root:481.82865941, 1010.42171483, 114.35639531, -64.34573410, 266.70932852, 0.007
INFO:root:369.74001094, 644.59045760, 115.55099604, -60.81187128, 193.63419736, 0.007
INFO:root:354.56065379, 617.80638132, 111.77959948, -57.43913474, 185.50329133, 0.007
INFO:root:370.69841302, 666.86025049, 108.28539791, -62.35493281, 199.22420672, 0.007
INFO:root:359.87627796, 607.72555095, 109.27531540, -68.28329187, 182.73942002, 0.007
INFO:root:360.94519019, 602.20859173, 108.14740121, -72.13520468, 180.97359627, 0.007
INFO:root:348.42217167, 590.14981895, 107.08987675, -64.28734170, 177.29696752, 0.007
INFO:root:349.96649075, 563.62372545, 106.88728517, -73.99208314, 169.34286693, 0.007
