INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=100, initial_epochs=10, learning_rate=0.007, lstm_layers=3, model='KVAE_mod', save_every=10, scale=0.3, scheduler_step=20, subdirectory='bonus', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1783.11862066, 5568.30908825, 84.83959035, -27.78623101, 1623.06068780, 0.007
INFO:root:466.07255039, 1127.73297430, 105.73546795, -22.01717454, 337.70143244, 0.007
INFO:root:381.43040048, 831.06206226, 104.13339442, -27.97837562, 250.47883713, 0.007
INFO:root:373.94648986, 810.21782436, 100.34804409, -30.53308746, 244.10136209, 0.007
INFO:root:338.10001990, 688.60343126, 99.38014493, -32.13883796, 207.55869774, 0.007
INFO:root:357.35407252, 762.98418218, 96.65298501, -31.80582272, 227.78949091, 0.007
INFO:root:324.70673949, 653.31228852, 95.63349934, -33.07954718, 197.00245667, 0.007
INFO:root:314.17633854, 617.93089576, 94.48029084, -34.31677085, 186.34634681, 0.007
INFO:root:307.40524797, 598.25444235, 92.07483459, -35.85407557, 180.51451694, 0.007
INFO:root:307.85593487, 603.62255509, 90.46914469, -36.30001850, 182.03907611, 0.007
INFO:root:392.04298236, 932.02330066, 89.67361487, -22.76236802, 238.60806041, 0.007
INFO:root:264.99837470, 528.10461154, 92.18177669, -14.38520934, 158.28609695, 0.007
INFO:root:245.84028499, 490.59507975, 89.65731603, -9.00443961, 146.96041695, 0.007
INFO:root:237.42979344, 477.63011957, 86.49551537, -7.64523567, 143.02196600, 0.007
INFO:root:236.23176507, 484.08208626, 83.81681192, -7.19031991, 144.79767818, 0.007
INFO:root:237.72733875, 493.46978682, 81.89359444, -7.79280208, 147.82730141, 0.007
INFO:root:227.15980433, 464.09138596, 80.57264753, -7.35973626, 138.79677669, 0.007
INFO:root:217.85714790, 442.01023272, 78.37292680, -6.88114512, 132.13707733, 0.007
INFO:root:219.02497903, 447.09116864, 76.61387892, -8.28374384, 133.53987539, 0.007
INFO:root:216.03326620, 440.39507843, 75.70193277, -8.21280477, 131.59422783, 0.007
INFO:root:213.80137109, 434.66260718, 74.42488283, -8.97770115, 129.81546866, 0.007
INFO:root:201.96208560, 403.56772298, 73.92844410, -6.96331900, 120.31645548, 0.0059499999999999996
INFO:root:203.65570525, 408.96696676, 72.41612982, -8.54948074, 121.92898443, 0.0059499999999999996
INFO:root:196.58762413, 391.75417352, 71.33576227, -7.72560467, 116.79840516, 0.0059499999999999996
INFO:root:197.60906827, 392.49019492, 70.39452462, -9.46748154, 116.96535380, 0.0059499999999999996
INFO:root:199.41677924, 403.13143085, 68.94895177, -9.52839403, 120.22446631, 0.0059499999999999996
INFO:root:192.87259339, 382.06479290, 68.93374546, -9.31940530, 113.83583346, 0.0059499999999999996
INFO:root:193.34741191, 385.63414555, 67.62729684, -10.02986640, 114.92097415, 0.0059499999999999996
INFO:root:194.56245452, 389.51379297, 66.58461237, -11.12369924, 115.99011216, 0.0059499999999999996
INFO:root:194.18304793, 392.32437503, 66.29853556, -10.18719528, 116.74928298, 0.0059499999999999996
