INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE_mod', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1', train_reconstruction=False, wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1842.97127052, 5753.46105724, 91.31313509, -25.61975365, 1666.22980864, 0.007
INFO:root:450.83382421, 1026.99637016, 125.29466131, -17.44024023, 308.15458145, 0.007
INFO:root:413.10479620, 914.95727889, 119.17094776, -19.44665378, 273.43813659, 0.007
INFO:root:386.20645161, 836.02433087, 113.38212542, -22.01701630, 251.49071381, 0.007
INFO:root:343.30322674, 696.24316095, 111.65592650, -22.77434313, 210.05287686, 0.007
INFO:root:365.98566685, 783.43803726, 105.00794167, -25.94630495, 236.24871768, 0.007
INFO:root:325.80655451, 649.51487703, 103.67058048, -27.28150341, 195.90961082, 0.007
INFO:root:318.97045315, 632.48743376, 102.38721699, -26.83699848, 190.56677013, 0.007
INFO:root:310.24228605, 605.28599558, 100.11703078, -28.53945103, 182.50158235, 0.007
INFO:root:306.56076711, 595.08555477, 98.03934727, -29.99574755, 179.47711376, 0.007
