INFO:root:Namespace(batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, learning_rate=0.001, lstm_layers=1, model='Enc_Dec', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v1', wandb_on='True')
INFO:root:Starting Encoder-Decoder training for 200 epochs.
INFO:root:Reconstruction Loss, MSE
INFO:root:11891.60285541, 3577.63907419, 0.001
INFO:root:6808.13975847, 1901.90624140, 0.001
INFO:root:6058.73381795, 1697.49215139, 0.001
INFO:root:5787.00672590, 1656.03951811, 0.001
INFO:root:5642.80542336, 1635.83532543, 0.001
INFO:root:5547.66925479, 1623.54567493, 0.001
INFO:root:5471.37826667, 1611.41663629, 0.001
INFO:root:5420.10122552, 1603.95218454, 0.001
INFO:root:5374.66553422, 1597.76136973, 0.001
INFO:root:5326.56692892, 1590.09831990, 0.001
INFO:root:5308.24026188, 1587.86132812, 0.001
INFO:root:5278.13484127, 1582.47983949, 0.001
INFO:root:5269.93457031, 1581.11041690, 0.001
INFO:root:5257.34888039, 1579.25563930, 0.001
INFO:root:5243.56225930, 1577.57570251, 0.001
INFO:root:5217.07831756, 1572.53970896, 0.001
INFO:root:5191.76378191, 1568.25149063, 0.001
INFO:root:5170.39755722, 1563.99737635, 0.001
INFO:root:5176.98932658, 1565.81041277, 0.001
INFO:root:5155.31000358, 1561.45050479, 0.001
INFO:root:5158.74783368, 1562.71377950, 0.001
INFO:root:5147.68891670, 1560.17731830, 0.001
INFO:root:5133.95979588, 1556.83951021, 0.001
INFO:root:5138.48873515, 1558.29226556, 0.001
INFO:root:5107.60094355, 1552.30957375, 0.001
INFO:root:5094.57010618, 1549.47809096, 0.001
INFO:root:5102.40015680, 1551.02175087, 0.001
INFO:root:5087.47626678, 1547.60999051, 0.001
INFO:root:5081.58564866, 1546.37317754, 0.001
INFO:root:5081.31552597, 1546.82616672, 0.001
INFO:root:5065.26964129, 1543.57557528, 0.001
INFO:root:5070.76645714, 1544.27809165, 0.001
INFO:root:5051.53748074, 1540.04443187, 0.001
INFO:root:5036.80600792, 1536.95501279, 0.001
INFO:root:5021.53119498, 1533.88005990, 0.001
INFO:root:5022.28188270, 1533.63559261, 0.001
INFO:root:5017.55937087, 1532.51463124, 0.001
INFO:root:5000.69986521, 1529.09230235, 0.001
INFO:root:5005.95472739, 1530.37204796, 0.001
INFO:root:5003.43358000, 1529.38093502, 0.001
INFO:root:4992.62772337, 1526.72475208, 0.001
INFO:root:4993.65092705, 1527.26329707, 0.001
INFO:root:4980.90768733, 1524.49563814, 0.001
INFO:root:4979.52940691, 1524.24541463, 0.001
INFO:root:4963.38497882, 1520.72020797, 0.001
INFO:root:4951.41541043, 1517.70070938, 0.001
INFO:root:4954.19454913, 1518.30268795, 0.001
INFO:root:4943.12807411, 1515.74921428, 0.001
INFO:root:4950.30265185, 1517.09237628, 0.001
INFO:root:4946.52589266, 1515.96466666, 0.001
INFO:root:4943.15950292, 1515.60790844, 0.001
INFO:root:4932.81578042, 1513.13625970, 0.001
INFO:root:4928.89329335, 1512.34218888, 0.001
INFO:root:4936.10919619, 1513.97774710, 0.001
INFO:root:4920.54194405, 1510.60001685, 0.001
INFO:root:4923.64107202, 1510.76204026, 0.001
INFO:root:4918.95418409, 1510.07722065, 0.001
INFO:root:4909.85304110, 1507.97488446, 0.001
INFO:root:4911.59755309, 1508.85015783, 0.001
INFO:root:4909.96240922, 1507.96853165, 0.001
INFO:root:4901.41250138, 1506.21077589, 0.001
INFO:root:4888.34739492, 1503.37939281, 0.001
INFO:root:4890.27810712, 1503.72303106, 0.001
INFO:root:4882.22738089, 1502.14308532, 0.001
INFO:root:4881.26043959, 1501.75494127, 0.001
INFO:root:4875.68052652, 1500.62750158, 0.001
INFO:root:4875.67089156, 1500.96748460, 0.001
INFO:root:4864.76027454, 1498.02393610, 0.001
INFO:root:4899.24834947, 1506.08323476, 0.001
INFO:root:4881.22511829, 1501.81226102, 0.001
INFO:root:4851.89189040, 1495.30054914, 0.001
INFO:root:4871.25968310, 1499.75347299, 0.001
INFO:root:4868.20072486, 1499.02846473, 0.001
INFO:root:4888.78038347, 1502.78050210, 0.001
INFO:root:4874.72504264, 1500.30874849, 0.001
INFO:root:4856.67163430, 1496.34161807, 0.001
INFO:root:4859.67228763, 1497.28514765, 0.001
INFO:root:4857.08624697, 1496.71974204, 0.001
INFO:root:4853.51363749, 1495.70298746, 0.001
INFO:root:4855.85339184, 1496.18351466, 0.001
INFO:root:4849.79173773, 1495.38635770, 0.001
INFO:root:4844.72890075, 1493.87588544, 0.001
INFO:root:4849.32559419, 1494.94463338, 0.001
INFO:root:4830.69965889, 1490.62228351, 0.001
INFO:root:4851.90869828, 1495.49404091, 0.001
INFO:root:4847.12914695, 1494.32240145, 0.001
INFO:root:4853.96023603, 1495.61242504, 0.001
INFO:root:4837.57055320, 1492.44889036, 0.001
INFO:root:4844.67297535, 1493.93778884, 0.001
INFO:root:4836.27468227, 1491.58967698, 0.001
INFO:root:4821.74119031, 1488.28311888, 0.001
INFO:root:4821.07056008, 1488.65432782, 0.001
INFO:root:4811.36645164, 1486.20354967, 0.001
INFO:root:4806.81804990, 1485.41880605, 0.001
INFO:root:4824.39228241, 1489.50143390, 0.001
INFO:root:4810.55420610, 1486.38512840, 0.001
INFO:root:4804.48685079, 1484.62185884, 0.001
INFO:root:4807.27343750, 1485.25146656, 0.001
INFO:root:4802.59366060, 1483.67776704, 0.001
INFO:root:4809.27510866, 1485.30506575, 0.001
INFO:root:4801.98015240, 1483.55781835, 0.001
INFO:root:4794.15460635, 1482.09715250, 0.00085
INFO:root:4782.92677844, 1479.53047631, 0.00085
INFO:root:4766.05642743, 1475.74608515, 0.00085
INFO:root:4782.38189096, 1479.67484767, 0.00085
INFO:root:4779.90891148, 1478.38639724, 0.00085
INFO:root:4769.37725572, 1476.53828538, 0.00085
INFO:root:4775.80767221, 1477.78370516, 0.00085
INFO:root:4772.13043299, 1477.14203139, 0.00085
INFO:root:4761.93412329, 1474.82062025, 0.00085
INFO:root:4755.92153114, 1473.31122256, 0.00085
INFO:root:4767.88568717, 1476.33267083, 0.00085
INFO:root:4773.97640432, 1477.53364155, 0.00085
INFO:root:4773.18776821, 1477.47524380, 0.00085
INFO:root:4760.88922205, 1474.15742428, 0.00085
INFO:root:4750.75980001, 1472.20452451, 0.00085
INFO:root:4757.45188710, 1473.82572486, 0.00085
INFO:root:4768.03761829, 1475.87038712, 0.00085
INFO:root:4759.41779682, 1474.49872256, 0.00085
INFO:root:4765.93054027, 1475.44334906, 0.00085
INFO:root:4755.38027481, 1472.92952932, 0.00085
INFO:root:4748.26156745, 1471.53009807, 0.00085
INFO:root:4803.13666373, 1483.87626540, 0.00085
INFO:root:4760.10898988, 1473.79277619, 0.00085
INFO:root:4747.77028774, 1471.43996376, 0.00085
INFO:root:4759.74839074, 1474.12014642, 0.00085
INFO:root:4750.77630529, 1471.94515089, 0.00085
INFO:root:4755.02607835, 1473.33923684, 0.00085
INFO:root:4749.76417391, 1472.32545665, 0.00085
INFO:root:4752.02480606, 1472.59205305, 0.00085
INFO:root:4734.07751293, 1468.44179309, 0.00085
INFO:root:4740.59427267, 1470.15523905, 0.00085
INFO:root:4729.43745874, 1467.70367861, 0.00085
INFO:root:4747.49359733, 1471.51829507, 0.00085
INFO:root:4735.32058759, 1469.13241018, 0.00085
INFO:root:4745.00356239, 1471.23291359, 0.00085
INFO:root:4751.09092347, 1472.14151388, 0.00085
INFO:root:4733.04784469, 1468.57739086, 0.00085
INFO:root:4731.04530012, 1468.00230042, 0.00085
INFO:root:4737.46486438, 1469.88885068, 0.00085
INFO:root:4745.71228543, 1471.34194473, 0.00085
INFO:root:4727.51147117, 1467.43936716, 0.00085
INFO:root:4728.86729066, 1467.67968750, 0.00085
INFO:root:4734.38805293, 1469.14017454, 0.00085
INFO:root:4726.77364382, 1467.30238192, 0.00085
INFO:root:4727.11074356, 1467.11799729, 0.00085
INFO:root:4745.71718888, 1471.37541091, 0.00085
INFO:root:4744.97669317, 1471.28620674, 0.00085
INFO:root:4727.60662412, 1467.49374691, 0.00085
INFO:root:4716.69376513, 1465.03983447, 0.00085
INFO:root:4716.29475682, 1465.28201681, 0.00085
INFO:root:4712.93934997, 1464.32207994, 0.00085
INFO:root:4723.61207086, 1466.63723970, 0.00085
INFO:root:4732.88242050, 1468.53089239, 0.00085
INFO:root:4724.52912494, 1466.80824645, 0.00085
INFO:root:4727.33399813, 1467.73557335, 0.00085
INFO:root:4739.42961185, 1469.85468647, 0.00085
INFO:root:4731.14293574, 1468.28576316, 0.00085
INFO:root:4730.39728901, 1467.80999154, 0.00085
INFO:root:4715.20808346, 1465.03334583, 0.00085
INFO:root:4715.30974912, 1464.92875220, 0.00085
INFO:root:4721.89803862, 1466.51532068, 0.00085
INFO:root:4719.63391973, 1465.66900721, 0.00085
INFO:root:4715.59674158, 1465.01348447, 0.00085
INFO:root:4714.28036972, 1464.42924736, 0.00085
INFO:root:4713.96137764, 1464.80897028, 0.00085
INFO:root:4707.50517853, 1463.35218317, 0.00085
INFO:root:4705.00279902, 1462.81270116, 0.00085
INFO:root:4730.63521264, 1467.97428271, 0.00085
INFO:root:4717.59328235, 1465.36244567, 0.00085
INFO:root:4710.72548278, 1464.03543993, 0.00085
INFO:root:4713.21654930, 1464.79708991, 0.00085
INFO:root:4736.75182934, 1470.26277268, 0.00085
INFO:root:4714.17184061, 1464.85828324, 0.00085
INFO:root:4705.33245764, 1462.79630591, 0.00085
INFO:root:4696.40650446, 1461.15207554, 0.00085
INFO:root:4706.45332444, 1463.56306393, 0.00085
INFO:root:4716.71531828, 1465.16773664, 0.00085
INFO:root:4702.04590531, 1462.40337533, 0.00085
INFO:root:4707.72234678, 1463.41735152, 0.00085
INFO:root:4708.93247964, 1463.58943456, 0.00085
INFO:root:4700.62421600, 1461.91049495, 0.00085
INFO:root:4704.54184089, 1462.70522255, 0.00085
INFO:root:4693.28093365, 1460.32881100, 0.00085
INFO:root:4696.59352993, 1461.00164021, 0.00085
INFO:root:4705.91132537, 1463.17513823, 0.00085
INFO:root:4712.51570753, 1464.38605854, 0.00085
INFO:root:4702.72651436, 1462.51254229, 0.00085
INFO:root:4697.11417529, 1461.21509133, 0.00085
INFO:root:4702.63274373, 1462.61081405, 0.00085
INFO:root:4699.87030975, 1462.00931689, 0.00085
INFO:root:4694.50171242, 1460.48892427, 0.00085
INFO:root:4699.41048636, 1461.78113309, 0.00085
INFO:root:4693.41452327, 1460.86899277, 0.00085
INFO:root:4693.52350627, 1460.48900508, 0.00085
INFO:root:4695.89411862, 1460.91261657, 0.00085
INFO:root:4690.53689618, 1459.97328208, 0.00085
INFO:root:4688.39948283, 1459.34000880, 0.00085
INFO:root:4684.01935244, 1458.33673354, 0.00085
INFO:root:4679.86905122, 1457.59049708, 0.00085
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/MovingMNIST/enc_dec/v1/scheduler_step=100/enc_dec_state_dict_199.pth
