INFO:root:Namespace(a_dim=16, batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, learning_rate=0.001, lstm_layers=1, model='Enc_Dec', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v4', wandb_on='True')
INFO:root:Starting Encoder-Decoder training for 200 epochs.
INFO:root:Reconstruction Loss, MSE
INFO:root:10739.39574164, 3233.19424138, 0.001
INFO:root:4588.60189261, 1455.84079452, 0.001
INFO:root:3782.97736369, 1217.84749120, 0.001
INFO:root:3525.96730923, 1157.01465531, 0.001
INFO:root:3432.71850242, 1132.17576234, 0.001
INFO:root:3366.74564673, 1112.72358295, 0.001
INFO:root:3320.68833558, 1099.63233453, 0.001
INFO:root:3279.74011402, 1086.44685299, 0.001
INFO:root:3230.15730221, 1071.15604196, 0.001
INFO:root:3201.60266629, 1063.14512269, 0.001
INFO:root:3172.60319927, 1053.51820997, 0.001
INFO:root:3143.69721748, 1045.11328899, 0.001
INFO:root:3129.53642509, 1040.34305540, 0.001
INFO:root:3116.59742930, 1036.13458166, 0.001
INFO:root:3098.20242009, 1030.02906047, 0.001
INFO:root:3082.72776257, 1024.47913887, 0.001
INFO:root:3063.73234623, 1018.48243821, 0.001
INFO:root:3037.57972739, 1009.68154692, 0.001
INFO:root:3032.28425534, 1008.07114120, 0.001
INFO:root:3015.20870241, 1002.44715903, 0.001
INFO:root:2999.66127036, 997.07229915, 0.001
INFO:root:2992.62750674, 994.82715961, 0.001
INFO:root:2994.71316571, 995.69164523, 0.001
INFO:root:2976.03523190, 989.55781663, 0.001
INFO:root:2963.10579542, 984.97754594, 0.001
INFO:root:2952.16185836, 980.92267533, 0.001
INFO:root:2942.17382125, 977.58050967, 0.001
INFO:root:2940.02431090, 976.79101992, 0.001
INFO:root:2924.47881822, 971.76269789, 0.001
INFO:root:2911.46908011, 967.20436805, 0.001
INFO:root:2908.42206412, 966.10367466, 0.001
INFO:root:2898.24844231, 962.71970249, 0.001
INFO:root:2892.25140983, 960.52810024, 0.001
INFO:root:2889.68032708, 959.74887644, 0.001
INFO:root:2878.38035046, 955.84915032, 0.001
INFO:root:2872.32736507, 953.76820653, 0.001
INFO:root:2866.65909372, 951.84155875, 0.001
INFO:root:2868.91896938, 952.63313229, 0.001
INFO:root:2859.55107009, 949.24533382, 0.001
INFO:root:2858.61870736, 949.00924210, 0.001
INFO:root:2841.66418973, 943.01831742, 0.001
INFO:root:2843.61696399, 943.84706051, 0.001
INFO:root:2831.41846735, 939.63202076, 0.001
INFO:root:2833.27183167, 940.14702595, 0.001
INFO:root:2824.02614712, 937.12164135, 0.001
INFO:root:2827.54275900, 938.23079198, 0.001
INFO:root:2825.55841838, 937.65006998, 0.001
INFO:root:2812.91636980, 933.19150769, 0.001
INFO:root:2807.74867270, 931.55226329, 0.001
INFO:root:2806.16757331, 930.91967086, 0.001
INFO:root:2807.37652674, 931.29543251, 0.001
INFO:root:2799.99718722, 928.70653609, 0.001
INFO:root:2797.80964252, 928.00867645, 0.001
INFO:root:2802.60750440, 929.59203414, 0.001
INFO:root:2789.35913774, 925.22030683, 0.001
INFO:root:2784.18290259, 923.33141918, 0.001
INFO:root:2784.00061551, 923.27203025, 0.001
INFO:root:2782.45931448, 922.77824982, 0.001
INFO:root:2772.82782240, 919.39734574, 0.001
INFO:root:2775.79594658, 920.40113078, 0.001
INFO:root:2770.21647365, 918.61343255, 0.001
INFO:root:2776.51007166, 920.53976483, 0.001
INFO:root:2772.39254718, 919.48769669, 0.001
INFO:root:2765.01952093, 916.67119760, 0.001
INFO:root:2759.93005543, 914.85168887, 0.001
INFO:root:2758.58324164, 914.33230376, 0.001
INFO:root:2756.27530810, 913.54290428, 0.001
INFO:root:2751.97021141, 912.09511083, 0.001
INFO:root:2757.01349994, 913.82326798, 0.001
INFO:root:2753.90070698, 912.65249849, 0.001
INFO:root:2745.26120984, 909.75802139, 0.001
INFO:root:2748.32563201, 910.73691699, 0.001
INFO:root:2754.98260412, 912.96096673, 0.001
INFO:root:2748.66360517, 910.85251241, 0.001
INFO:root:2739.79400377, 907.69398778, 0.001
INFO:root:2740.84032859, 908.12130179, 0.001
INFO:root:2732.18012420, 905.01568088, 0.001
INFO:root:2732.17876939, 905.08423883, 0.001
INFO:root:2731.81250344, 904.99692073, 0.001
INFO:root:2724.83033946, 902.52943700, 0.001
INFO:root:2726.40716467, 903.04920981, 0.001
INFO:root:2717.85131492, 900.19601741, 0.001
INFO:root:2719.04462616, 900.53712571, 0.001
INFO:root:2717.31890955, 899.99945326, 0.001
INFO:root:2717.58359925, 899.90580556, 0.001
INFO:root:2718.91521787, 900.51778444, 0.001
INFO:root:2712.87127256, 898.33061970, 0.001
INFO:root:2709.26937651, 897.11886554, 0.001
INFO:root:2711.45182521, 897.82280634, 0.001
INFO:root:2714.40064508, 898.70877204, 0.001
INFO:root:2709.06200484, 896.85037102, 0.001
INFO:root:2705.00668464, 895.58485434, 0.001
INFO:root:2711.62858990, 897.92971071, 0.001
INFO:root:2706.02425245, 895.84365802, 0.001
INFO:root:2700.37927762, 893.92290056, 0.001
INFO:root:2699.86906154, 893.73550630, 0.001
INFO:root:2707.20727883, 896.27633882, 0.001
INFO:root:2702.91886622, 894.63192104, 0.001
INFO:root:2693.14671476, 891.27769449, 0.001
INFO:root:2699.56135838, 893.58889813, 0.001
INFO:root:2692.16121190, 891.03728990, 0.001
INFO:root:2691.12966962, 890.58699487, 0.00085
INFO:root:2688.95072830, 889.82449126, 0.00085
INFO:root:2688.06207017, 889.50580608, 0.00085
INFO:root:2682.01580725, 887.43587784, 0.00085
INFO:root:2680.95978901, 887.03829913, 0.00085
INFO:root:2679.10427212, 886.47454404, 0.00085
INFO:root:2688.64308360, 889.74608859, 0.00085
INFO:root:2682.61597367, 887.50504185, 0.00085
INFO:root:2675.11026904, 885.02121960, 0.00085
INFO:root:2678.05044427, 886.03520353, 0.00085
INFO:root:2675.29764869, 885.03176751, 0.00085
INFO:root:2672.25704569, 884.07877661, 0.00085
INFO:root:2671.22518362, 883.50055276, 0.00085
INFO:root:2670.46261210, 883.23374660, 0.00085
INFO:root:2672.40940664, 883.97095500, 0.00085
INFO:root:2671.38755777, 883.68951416, 0.00085
INFO:root:2668.19970359, 882.51362202, 0.00085
INFO:root:2663.21687940, 880.96318033, 0.00085
INFO:root:2671.62771993, 883.73793395, 0.00085
INFO:root:2663.58650831, 880.82694298, 0.00085
INFO:root:2670.38468310, 883.22100228, 0.00085
INFO:root:2663.30096350, 880.66426796, 0.00085
INFO:root:2657.11364230, 878.65253029, 0.00085
INFO:root:2664.40880488, 881.16229420, 0.00085
INFO:root:2658.10101232, 878.89768101, 0.00085
INFO:root:2656.95803876, 878.55973966, 0.00085
INFO:root:2658.37946330, 879.03812462, 0.00085
INFO:root:2660.97826805, 879.95067586, 0.00085
INFO:root:2659.54928546, 879.33812273, 0.00085
INFO:root:2648.65188985, 875.59381361, 0.00085
INFO:root:2651.54531044, 876.67647843, 0.00085
INFO:root:2649.89750564, 876.11327093, 0.00085
INFO:root:2649.34008789, 875.86106937, 0.00085
INFO:root:2646.77399111, 875.02589696, 0.00085
INFO:root:2648.07715188, 875.49375808, 0.00085
INFO:root:2649.24173704, 875.78479004, 0.00085
INFO:root:2647.60304798, 875.12339675, 0.00085
INFO:root:2649.57846198, 875.92566262, 0.00085
INFO:root:2646.86610090, 875.02312287, 0.00085
INFO:root:2644.20026752, 874.04874302, 0.00085
INFO:root:2642.43642372, 873.50174079, 0.00085
INFO:root:2652.11480799, 876.82592602, 0.00085
INFO:root:2641.76674255, 873.15656979, 0.00085
INFO:root:2650.79775184, 876.18943937, 0.00085
INFO:root:2642.01937995, 873.20604179, 0.00085
INFO:root:2644.73368040, 874.18212117, 0.00085
INFO:root:2635.14274318, 870.88828589, 0.00085
INFO:root:2637.67818483, 871.74343743, 0.00085
INFO:root:2636.37620007, 871.27366961, 0.00085
INFO:root:2639.25728639, 872.17034998, 0.00085
INFO:root:2632.78797934, 870.06529386, 0.00085
INFO:root:2634.72416923, 870.75719871, 0.00085
INFO:root:2634.83576557, 870.69148620, 0.00085
INFO:root:2635.53618439, 870.96802188, 0.00085
INFO:root:2633.20866115, 870.11801792, 0.00085
INFO:root:2636.14925933, 871.08940447, 0.00085
INFO:root:2637.43418863, 871.58472969, 0.00085
INFO:root:2631.16704377, 869.41867108, 0.00085
INFO:root:2631.91500124, 869.66736012, 0.00085
INFO:root:2625.33715820, 867.31896973, 0.00085
INFO:root:2627.80226673, 868.23579686, 0.00085
INFO:root:2626.35724651, 867.71437266, 0.00085
INFO:root:2629.55640680, 868.78215693, 0.00085
INFO:root:2625.05722519, 867.28772574, 0.00085
INFO:root:2630.17762090, 869.05525143, 0.00085
INFO:root:2626.90969892, 867.71531226, 0.00085
INFO:root:2625.45626444, 867.33789836, 0.00085
INFO:root:2620.46102003, 865.64194026, 0.00085
INFO:root:2627.59522860, 868.03840831, 0.00085
INFO:root:2625.63438738, 867.38964070, 0.00085
INFO:root:2624.55806764, 867.09587506, 0.00085
INFO:root:2620.72572692, 865.68864763, 0.00085
INFO:root:2627.95828634, 868.18269370, 0.00085
INFO:root:2621.03529723, 865.62689295, 0.00085
INFO:root:2619.76457279, 865.37495874, 0.00085
INFO:root:2618.28105744, 864.87828472, 0.00085
INFO:root:2622.31766478, 866.22819068, 0.00085
INFO:root:2615.35154187, 863.84340270, 0.00085
INFO:root:2615.17024166, 863.71252527, 0.00085
