INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=0.3, scheduler_step=20, subdirectory='v1', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:3371.47164292, 8192.25042639, 2.37826005, -911.41816581, 2283.71006581, 0.007
INFO:root:1798.06982126, 5852.64470318, 13.51888283, -28.75745364, 1669.56501706, 0.007
INFO:root:1720.54296523, 5615.25552239, 13.73637416, -22.22985488, 1637.82943511, 0.007
INFO:root:1680.18625553, 5488.25737236, 15.81482471, -17.89414643, 1615.50117772, 0.007
INFO:root:1659.55167328, 5423.85733935, 16.18408532, -16.21030795, 1602.55401182, 0.007
INFO:root:1644.34199941, 5373.05875880, 16.25612885, -16.16817128, 1591.96090311, 0.007
INFO:root:1642.92463895, 5366.49333599, 16.32404491, -16.65252875, 1590.04549096, 0.007
INFO:root:1627.83399755, 5312.82051194, 16.61033354, -17.37743911, 1579.85440450, 0.007
INFO:root:1616.04080819, 5265.69153692, 17.42445035, -18.90882268, 1572.21833049, 0.007
INFO:root:1598.76799509, 5198.93851783, 19.34631133, -19.74006334, 1561.01869911, 0.007
INFO:root:1645.61989811, 5358.91916538, 18.12467011, -19.81940743, 1596.30547322, 0.007
INFO:root:1580.45573304, 5123.42893789, 19.84349609, -23.58349596, 1548.21718888, 0.007
INFO:root:1571.62373049, 5083.52897365, 20.02787883, -26.53710011, 1540.52239045, 0.007
INFO:root:1559.99328239, 5047.18639277, 19.55032805, -26.28698184, 1533.71290954, 0.007
INFO:root:1560.36327768, 5027.15785926, 20.16337311, -32.05248838, 1529.54494938, 0.007
INFO:root:1557.89283982, 5007.69036092, 20.25122917, -35.33444895, 1526.04316991, 0.007
INFO:root:1558.76740735, 4994.23189233, 20.51921732, -39.97857696, 1523.41952472, 0.007
INFO:root:1560.61854814, 4983.90059006, 20.61170516, -44.83662589, 1521.27246094, 0.007
INFO:root:1558.35199729, 4972.24282020, 20.76087342, -45.91823333, 1518.78018747, 0.007
INFO:root:1563.09223845, 4969.70518128, 21.03877129, -51.14186433, 1518.05773754, 0.007
INFO:root:1550.21675439, 4958.74605936, 21.51454751, -41.07833353, 1516.33730262, 0.007
INFO:root:1531.23725401, 4938.38719328, 21.57049093, -28.15055314, 1511.81227133, 0.0059499999999999996
INFO:root:1529.04501790, 4931.39376100, 21.63557961, -27.99125538, 1510.65689474, 0.0059499999999999996
INFO:root:1530.33161843, 4932.42813325, 22.02146447, -28.58166141, 1510.98737174, 0.0059499999999999996
INFO:root:1529.19409332, 4926.77895301, 22.33295776, -28.82739582, 1509.99150322, 0.0059499999999999996
INFO:root:1526.60898666, 4919.66302404, 22.18998318, -28.52005070, 1508.30812782, 0.0059499999999999996
INFO:root:1523.94719546, 4909.60118425, 22.51615702, -28.55063543, 1505.95526209, 0.0059499999999999996
INFO:root:1521.04988653, 4899.74048883, 22.74930094, -28.37838118, 1504.08382276, 0.0059499999999999996
INFO:root:1520.73335288, 4896.81619306, 22.98466701, -28.70377748, 1504.40575140, 0.0059499999999999996
INFO:root:1518.68899602, 4891.44963138, 23.06304077, -28.19101104, 1502.84354025, 0.0059499999999999996
INFO:root:1518.89610058, 4891.80622799, 23.20996134, -28.14421451, 1503.27081901, 0.0059499999999999996
INFO:root:1515.74005968, 4881.24003494, 23.24695289, -28.12104113, 1501.28073593, 0.0059499999999999996
INFO:root:1515.95049688, 4880.98106707, 23.53270332, -28.12342237, 1501.14352202, 0.0059499999999999996
INFO:root:1515.20485891, 4876.57082141, 23.07280909, -29.16075199, 1500.69422590, 0.0059499999999999996
INFO:root:1514.83947933, 4872.69260288, 23.63150465, -29.40014484, 1500.09312417, 0.0059499999999999996
INFO:root:1509.49878246, 4851.54255612, 23.82412239, -30.21184845, 1495.44371699, 0.0059499999999999996
INFO:root:1513.40722153, 4859.37176772, 23.71685810, -31.87878946, 1497.00391829, 0.0059499999999999996
INFO:root:1517.86656272, 4864.29919949, 23.49675485, -35.08000868, 1498.36902715, 0.0059499999999999996
INFO:root:1516.23950434, 4859.43492105, 23.11646322, -35.29251380, 1497.82410700, 0.0059499999999999996
INFO:root:1523.61005146, 4860.21821358, 23.35954881, -42.18499059, 1497.39857504, 0.0059499999999999996
INFO:root:1517.06796522, 4849.18911614, 23.31989852, -38.99127928, 1495.15802432, 0.0059499999999999996
INFO:root:1512.48598839, 4834.53730194, 23.14346590, -38.98128094, 1492.36474437, 0.0050574999999999995
INFO:root:1515.87260705, 4838.12913320, 23.21377144, -41.22004495, 1493.18008122, 0.0050574999999999995
INFO:root:1517.29969007, 4834.44484485, 24.04276037, -42.92342982, 1492.49525129, 0.0050574999999999995
INFO:root:1509.76874824, 4827.57811125, 24.41943007, -37.07584105, 1490.84485035, 0.0050574999999999995
INFO:root:1530.13019122, 4834.41418629, 23.94345738, -55.86241881, 1492.39995048, 0.0050574999999999995
INFO:root:1523.94414656, 4825.43273410, 23.67320738, -52.64108208, 1490.52398768, 0.0050574999999999995
INFO:root:1518.63154907, 4824.12204280, 23.74750941, -47.64737695, 1490.17134546, 0.0050574999999999995
INFO:root:1518.53230782, 4826.21690691, 23.85255768, -46.81462379, 1490.69266994, 0.0050574999999999995
INFO:root:1522.16819966, 4816.22036614, 24.05812212, -53.24392280, 1488.36958936, 0.0050574999999999995
INFO:root:1518.79060576, 4818.42433704, 24.14038449, -49.12286396, 1488.99531491, 0.0050574999999999995
INFO:root:1527.89888557, 4826.38843805, 24.32101397, -55.66129376, 1490.41223832, 0.0050574999999999995
INFO:root:1517.78147112, 4823.10467099, 24.38530304, -46.46472101, 1490.33066784, 0.0050574999999999995
INFO:root:1509.31116597, 4819.73276574, 23.80411492, -39.58717726, 1489.21978158, 0.0050574999999999995
INFO:root:1521.82274193, 4811.04852553, 24.07652014, -54.43161145, 1487.70246651, 0.0050574999999999995
INFO:root:1515.07091366, 4811.02323118, 24.18060512, -47.58329090, 1487.70044461, 0.0050574999999999995
INFO:root:1520.63971933, 4812.87951144, 24.50060955, -52.27520534, 1488.29955023, 0.0050574999999999995
INFO:root:1529.89902864, 4819.33423195, 24.63425994, -59.46445832, 1489.28268046, 0.0050574999999999995
INFO:root:1513.13294189, 4800.48677514, 24.71953494, -48.26732239, 1485.60821103, 0.0050574999999999995
INFO:root:1529.15323727, 4816.28211653, 24.20727225, -60.06127878, 1489.15724547, 0.0050574999999999995
INFO:root:1517.32564206, 4799.18916428, 24.16197011, -53.40686352, 1485.17277591, 0.0050574999999999995
INFO:root:1530.32777235, 4804.35711928, 25.07078969, -63.94979968, 1486.79266959, 0.004298875
INFO:root:1497.98286860, 4804.65389112, 25.24157720, -31.34506841, 1486.64606315, 0.004298875
INFO:root:1502.54841414, 4803.60993893, 25.20600837, -36.25938431, 1486.49479224, 0.004298875
INFO:root:1501.31319701, 4808.19357257, 25.43272166, -33.42235710, 1487.56237965, 0.004298875
INFO:root:1496.90471433, 4794.03087175, 25.60860416, -33.08680197, 1484.14408251, 0.004298875
INFO:root:1497.44134320, 4795.30756217, 25.42569566, -33.42333353, 1484.97275081, 0.004298875
INFO:root:1497.92058904, 4793.75514415, 25.49597713, -34.29800981, 1484.26665658, 0.004298875
INFO:root:1499.65595064, 4799.80082939, 25.23852955, -34.47712279, 1485.65707011, 0.004298875
INFO:root:1497.26070737, 4800.54128384, 25.21083996, -31.88743355, 1485.71707712, 0.004298875
INFO:root:1494.64726701, 4787.83435574, 25.30397797, -32.99293747, 1482.89294090, 0.004298875
INFO:root:1497.97795774, 4790.61712561, 25.37002923, -35.42273382, 1483.48820388, 0.004298875
INFO:root:1500.40354486, 4797.14228241, 25.19853971, -36.06227753, 1485.00043326, 0.004298875
INFO:root:1499.17171560, 4793.74863831, 25.41122208, -35.63584756, 1483.93643747, 0.004298875
INFO:root:1501.84978959, 4799.56562225, 25.01646203, -36.96359007, 1485.95425458, 0.004298875
INFO:root:1494.92561586, 4789.78739822, 25.19676190, -32.79257813, 1483.14126802, 0.004298875
INFO:root:1499.98322303, 4801.23517963, 25.29078204, -34.32183748, 1485.79498205, 0.004298875
INFO:root:1501.52512065, 4802.73380419, 25.10652298, -35.59841442, 1485.96826860, 0.004298875
INFO:root:1510.32334944, 4794.86416841, 25.22824110, -46.63581677, 1483.97231583, 0.004298875
INFO:root:1512.23103539, 4813.46890130, 24.89215203, -43.29815687, 1488.19269573, 0.004298875
INFO:root:1496.80475267, 4793.55847684, 24.84168233, -33.89548014, 1484.06382042, 0.004298875
INFO:root:1495.88409102, 4784.54276243, 25.24883165, -35.27238293, 1481.87494842, 0.0036540437499999997
INFO:root:1492.64525014, 4772.83378494, 25.48059662, -35.31447398, 1479.75661587, 0.0036540437499999997
INFO:root:1496.92408592, 4785.85150748, 25.39998323, -35.76859929, 1482.82464858, 0.0036540437499999997
INFO:root:1495.91031068, 4780.50546737, 25.37839505, -36.38021949, 1481.66130302, 0.0036540437499999997
INFO:root:1496.07239521, 4778.19373762, 25.56538791, -37.04884079, 1481.07070278, 0.0036540437499999997
INFO:root:1497.64327914, 4782.45254044, 25.47359284, -37.43388041, 1482.25678436, 0.0036540437499999997
INFO:root:1502.12675926, 4796.03993590, 25.23554474, -38.07918107, 1484.71974891, 0.0036540437499999997
INFO:root:1493.01927379, 4761.93239712, 25.72371993, -38.71579496, 1477.88243253, 0.0036540437499999997
INFO:root:1497.08525461, 4775.62887874, 25.51842133, -38.87812192, 1480.58489217, 0.0036540437499999997
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/MovingMNIST/kvae/v1/scale=0.3/scheduler_step=20/kvae_state_dict_scale=0.3_89.pth
