INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=40, initial_epochs=0, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=1.0, scheduler_step=5, subdirectory='v3', train_reconstruction='True', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 40 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:8761.88704393, 7911.48804743, 6.87704838, -843.52194709, 2218.76925616, 0.007
INFO:root:5848.69954824, 5797.39268128, 17.57053939, -33.73632063, 1650.42991273, 0.007
INFO:root:5618.58191925, 5582.21804853, 16.62526010, -19.73860251, 1631.44464369, 0.007
INFO:root:5504.46463001, 5464.15756355, 20.21492393, -20.09216082, 1614.11445725, 0.007
INFO:root:5430.82196052, 5389.17184061, 21.32944650, -20.32068136, 1599.91875447, 0.007
INFO:root:5361.67179935, 5317.58243013, 23.75943267, -20.32991308, 1585.47811503, 0.007
INFO:root:5311.53659159, 5265.04021099, 26.12199292, -20.37437906, 1574.15934990, 0.0059499999999999996
INFO:root:5257.47431161, 5207.44533313, 28.75494785, -21.27402002, 1562.83642578, 0.0059499999999999996
INFO:root:5226.49287471, 5173.91038320, 29.99064327, -22.59185826, 1557.09745165, 0.0059499999999999996
INFO:root:5183.52279496, 5129.04402784, 30.51367918, -23.96510212, 1548.91435994, 0.0059499999999999996
INFO:root:5157.18508908, 5100.15585112, 31.93026623, -25.09899341, 1544.30184550, 0.0059499999999999996
