INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=300, initial_epochs=0, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=1.0, scheduler_step=20, subdirectory='v3/finetuned1', train_reconstruction='True', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Loaded State Dict from saves/MovingMNIST/kvae/v3/scale=1.0/scheduler_step=5/kvae_state_dict_scale=1.0_39.pth
INFO:root:Starting KVAE training for 300 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:5191.27147891, 5109.27748129, 34.42240135, -47.57158619, 1540.10919275, 0.007
INFO:root:4990.88743645, 4913.51257152, 37.56919103, -39.80565278, 1506.91456110, 0.007
INFO:root:4984.17462802, 4911.70203153, 37.27926840, -35.19334776, 1506.84840415, 0.007
INFO:root:4999.64508301, 4918.66461268, 37.43376783, -43.54670466, 1508.16756987, 0.007
INFO:root:4989.35740460, 4909.86949824, 37.05935433, -42.42854236, 1506.48126994, 0.007
INFO:root:4971.70699965, 4896.90906278, 37.58086137, -37.21708162, 1503.10706082, 0.007
INFO:root:5023.14985641, 4886.36699494, 37.43596612, -99.34688821, 1501.60176366, 0.007
INFO:root:5038.33531603, 4898.50028884, 38.02142925, -101.81361846, 1504.44681517, 0.007
INFO:root:4946.58273199, 4871.30261746, 38.00406958, -37.27605697, 1498.04683030, 0.007
INFO:root:4952.48353847, 4874.58236136, 37.93650136, -39.96466743, 1498.83302157, 0.007
INFO:root:4961.26006825, 4876.24064013, 37.90386243, -47.11556451, 1499.47094383, 0.007
INFO:root:4941.59240031, 4870.21048360, 38.01704154, -33.36487500, 1498.26882118, 0.007
INFO:root:4916.10481453, 4842.40561730, 38.53793104, -35.16126260, 1492.34745165, 0.007
INFO:root:4928.70867636, 4856.41057576, 38.53723198, -33.76085368, 1495.51049977, 0.007
INFO:root:4931.27332499, 4856.83491280, 38.23347629, -36.20492435, 1495.45067672, 0.007
INFO:root:4911.82339179, 4837.76301166, 38.75042676, -35.30992623, 1491.81797253, 0.007
INFO:root:4918.48328790, 4844.84697541, 38.69211820, -34.94419102, 1493.43117469, 0.007
INFO:root:4904.22202446, 4831.86372139, 38.52525249, -33.83305686, 1490.98267461, 0.007
INFO:root:4908.53904979, 4834.62958022, 38.40716134, -35.50231179, 1490.97689604, 0.007
INFO:root:4917.98099531, 4842.11430595, 38.69964309, -37.16707173, 1492.50958854, 0.007
INFO:root:4906.68104236, 4825.23286889, 38.78190871, -42.66627013, 1489.51742167, 0.007
INFO:root:4907.30476569, 4822.26022640, 39.33070336, -45.71382846, 1488.87403203, 0.0059499999999999996
INFO:root:4893.77080310, 4810.76874725, 39.03152197, -43.97055140, 1486.35954005, 0.0059499999999999996
INFO:root:4885.57698514, 4806.77144311, 39.19436146, -39.61117171, 1485.38540864, 0.0059499999999999996
INFO:root:4891.88417172, 4812.83692094, 39.27286089, -39.77437033, 1487.23586735, 0.0059499999999999996
INFO:root:4887.34756232, 4809.34753934, 39.47492712, -38.52512476, 1486.06464397, 0.0059499999999999996
INFO:root:4881.59038008, 4800.20036037, 39.67049241, -41.71954767, 1483.73100517, 0.0059499999999999996
INFO:root:4887.22200548, 4807.65203428, 39.45310077, -40.11686684, 1485.58577589, 0.0059499999999999996
INFO:root:4900.79000557, 4816.87592842, 39.43696455, -44.47711357, 1487.88895384, 0.0059499999999999996
INFO:root:4877.55449955, 4792.34906608, 39.44027619, -45.76516196, 1482.59647337, 0.0059499999999999996
INFO:root:4897.18850243, 4810.05242490, 39.58574419, -47.55033947, 1486.18011217, 0.0059499999999999996
INFO:root:4883.08637990, 4799.38810107, 39.52589674, -44.17240681, 1484.12278554, 0.0059499999999999996
INFO:root:4871.34403394, 4788.23626623, 39.62911090, -43.47869641, 1481.74780961, 0.0059499999999999996
INFO:root:4859.42396493, 4774.31809116, 39.99510472, -45.11078409, 1478.90970923, 0.0059499999999999996
INFO:root:4866.31901678, 4782.37278554, 39.89691850, -44.04930672, 1480.64951206, 0.0059499999999999996
INFO:root:4861.93751531, 4776.21877751, 39.70572995, -46.01300634, 1479.28741885, 0.0059499999999999996
INFO:root:4889.55697309, 4806.95903939, 39.65661132, -42.94133296, 1485.56179337, 0.0059499999999999996
INFO:root:4870.25744594, 4786.37742077, 39.88477551, -43.99521827, 1481.74283911, 0.0059499999999999996
INFO:root:4858.05050427, 4771.06420555, 39.92517004, -47.06111579, 1478.70808002, 0.0059499999999999996
INFO:root:4860.01101352, 4773.17641395, 39.88852799, -46.94607212, 1478.51346556, 0.0059499999999999996
INFO:root:4859.59506654, 4767.92791318, 40.25631117, -51.41082633, 1477.50412288, 0.0059499999999999996
INFO:root:4861.27637373, 4771.56899895, 40.30242157, -49.40495675, 1478.21690691, 0.0050574999999999995
INFO:root:4865.59697824, 4780.62718007, 40.12762860, -44.84217795, 1479.94860840, 0.0050574999999999995
INFO:root:4879.33480212, 4777.73756602, 39.22930511, -62.36793647, 1479.87954411, 0.0050574999999999995
